time-step	lambda
0	-0.999983
1	-0.999931
2	-0.999845
3	-0.999724
4	-0.999569
5	-0.99938
6	-0.999156
7	-0.998898
8	-0.998605
9	-0.998278
10	-0.997917
11	-0.997522
12	-0.997092
13	-0.996628
14	-0.996129
15	-0.995597
16	-0.99503
17	-0.994429
18	-0.993795
19	-0.993126
20	-0.992423
21	-0.991686
22	-0.990916
23	-0.990111
24	-0.989273
25	-0.988402
26	-0.987496
27	-0.986557
28	-0.985585
29	-0.984579
30	-0.983541
31	-0.982468
32	-0.981363
33	-0.980225
34	-0.979054
35	-0.977851
36	-0.976614
37	-0.975345
38	-0.974044
39	-0.972711
40	-0.971345
41	-0.969947
42	-0.968518
43	-0.967057
44	-0.965565
45	-0.964041
46	-0.962486
47	-0.9609
48	-0.959283
49	-0.957636
50	-0.955959
51	-0.954251
52	-0.952514
53	-0.950747
54	-0.94895
55	-0.947125
56	-0.94527
57	-0.943387
58	-0.941476
59	-0.939537
60	-0.93757
61	-0.935576
62	-0.933554
63	-0.931506
64	-0.929432
65	-0.927332
66	-0.925206
67	-0.923055
68	-0.92088
69	-0.91868
70	-0.916456
71	-0.914209
72	-0.911938
73	-0.909646
74	-0.907331
75	-0.904995
76	-0.902637
77	-0.900259
78	-0.897862
79	-0.895445
80	-0.893009
81	-0.890555
82	-0.888083
83	-0.885594
84	-0.883089
85	-0.880568
86	-0.878032
87	-0.875482
88	-0.872918
89	-0.87034
90	-0.867751
91	-0.865149
92	-0.862537
93	-0.859915
94	-0.857282
95	-0.854642
96	-0.851993
97	-0.849336
98	-0.846674
99	-0.844005
100	-0.841331
101	-0.838654
102	-0.835972
103	-0.833288
104	-0.830602
105	-0.827914
106	-0.825226
107	-0.822538
108	-0.819851
109	-0.817166
110	-0.814484
111	-0.811804
112	-0.809128
113	-0.806457
114	-0.80379
115	-0.80113
116	-0.798476
117	-0.795829
118	-0.79319
119	-0.790559
120	-0.787937
121	-0.785324
122	-0.782722
123	-0.780129
124	-0.777548
125	-0.774978
126	-0.77242
127	-0.769874
128	-0.767341
129	-0.764822
130	-0.762315
131	-0.759822
132	-0.757344
133	-0.75488
134	-0.75243
135	-0.749995
136	-0.747576
137	-0.745172
138	-0.742783
139	-0.74041
140	-0.738053
141	-0.735712
142	-0.733387
143	-0.731078
144	-0.728785
145	-0.726508
146	-0.724248
147	-0.722003
