timestep            	T              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
100001	0.55876	0.55876	0	0.834865	0.834865	0	-5.35762	-5.35762	0	-4.52275	-4.52275	0	-0.721824	-0.721824	0
100201	0.566274	0.568078	2.56555e-05	0.846093	0.848788	3.75356	-5.36792	-5.37109	3.85395	-4.52183	-4.5223	0.00461373	-0.964011	-0.923969	0.00500495
100401	0.519706	0.554944	0.000283224	0.776514	0.829164	41.4374	-5.29791	-5.35107	42.6874	-4.52139	-4.5219	0.0133018	-0.752828	-0.884465	0.00579146
100601	0.551336	0.55173	0.000292275	0.823774	0.824363	42.7617	-5.34538	-5.34614	43.7968	-4.5216	-4.52177	0.0111404	-0.995332	-0.908368	0.0094344
100801	0.547835	0.55073	0.000282036	0.818542	0.822868	41.2637	-5.34049	-5.34463	42.0976	-4.52195	-4.52176	0.00856296	-0.93265	-0.917811	0.00858738
101001	0.559148	0.549716	0.000251741	0.835445	0.821352	36.8313	-5.35751	-5.34318	37.4495	-4.52207	-4.52183	0.00793302	-1.07137	-0.92132	0.00802282
101201	0.569578	0.550905	0.000256128	0.851029	0.82313	37.4732	-5.37299	-5.34498	38.0289	-4.52196	-4.52185	0.00687152	-1.06027	-0.943917	0.0102962
101401	0.545995	0.552371	0.000259296	0.815793	0.82532	37.9366	-5.33782	-5.34719	38.4449	-4.52203	-4.52187	0.00603509	-0.886681	-0.947354	0.00958104
101601	0.53217	0.549604	0.00028643	0.795137	0.821186	41.9066	-5.3175	-5.3431	42.2014	-4.52236	-4.52191	0.0060606	-0.723109	-0.924893	0.0122905
101801	0.569037	0.550716	0.000285518	0.850221	0.822848	41.7731	-5.37268	-5.34481	42.1374	-4.52246	-4.52197	0.00698717	-0.897164	-0.924108	0.0118881
102001	0.580521	0.550632	0.000326462	0.86738	0.822722	47.7634	-5.39018	-5.34475	48.1342	-4.5228	-4.52203	0.00861485	-0.887711	-0.902485	0.0171018
102201	0.567322	0.551026	0.000319562	0.847658	0.82331	46.7539	-5.37056	-5.34542	47.1481	-4.5229	-4.52211	0.0120078	-0.9048	-0.894804	0.0165687
102401	0.573742	0.549687	0.000342127	0.857251	0.821309	50.0554	-5.37958	-5.34346	50.295	-4.52233	-4.52215	0.0124912	-0.938236	-0.878548	0.0192618
102601	0.587644	0.550077	0.000333571	0.878022	0.821893	48.8035	-5.40058	-5.34406	49.0492	-4.52256	-4.52217	0.0117855	-1.02012	-0.875766	0.0183916
102801	0.556005	0.551333	0.000366785	0.83075	0.82377	53.6629	-5.35405	-5.34599	54.0081	-4.5233	-4.52222	0.0137262	-0.715638	-0.872983	0.0190603
103001	0.565165	0.551018	0.00035105	0.844436	0.823298	51.3608	-5.36833	-5.34561	51.6077	-4.52389	-4.52231	0.0208403	-0.616648	-0.854202	0.0231268
103201	0.564504	0.552061	0.000364833	0.843449	0.824857	53.3773	-5.36751	-5.34728	53.9548	-4.52406	-4.52243	0.0319971	-0.6142	-0.838356	0.0260742
103401	0.573674	0.553284	0.000380194	0.857149	0.826684	55.6247	-5.37985	-5.34917	56.4012	-4.5227	-4.52248	0.0341902	-0.83947	-0.831343	0.0257803
103601	0.542494	0.552626	0.000375586	0.810562	0.825701	54.9506	-5.33243	-5.34817	55.7187	-4.52187	-4.52247	0.0326739	-1.02515	-0.832146	0.0250815
103801	0.550154	0.552222	0.000363249	0.822007	0.825097	53.1455	-5.34405	-5.34753	53.9264	-4.52204	-4.52244	0.0322783	-0.980161	-0.843116	0.0259836
104001	0.588272	0.552141	0.000358113	0.878961	0.824976	52.3941	-5.40154	-5.34741	53.1523	-4.52258	-4.52243	0.0307979	-1.00181	-0.845795	0.0250308
104201	0.523647	0.552202	0.000355026	0.782402	0.825067	51.9426	-5.30556	-5.34752	52.6443	-4.52316	-4.52245	0.0299855	-0.441263	-0.838679	0.0260032
104401	0.544362	0.551255	0.000362718	0.813354	0.823652	53.0679	-5.33663	-5.34614	53.5974	-4.52328	-4.52249	0.0305521	-0.728427	-0.825905	0.0287555
104601	0.537016	0.551178	0.000350957	0.802377	0.823538	51.3472	-5.32556	-5.34606	51.8459	-4.52319	-4.52252	0.0305775	-0.733896	-0.823525	0.0277082
104801	0.530662	0.551252	0.000343851	0.792884	0.823648	50.3076	-5.31609	-5.3462	50.7948	-4.52321	-4.52255	0.0304266	-0.558605	-0.821269	0.0271688
105001	0.570046	0.551606	0.000340377	0.851729	0.824178	49.7993	-5.3753	-5.34676	50.3295	-4.52357	-4.52258	0.0311754	-0.654704	-0.815252	0.0271123
105201	0.559034	0.552078	0.000335098	0.835276	0.824883	49.0269	-5.35892	-5.34751	49.6325	-4.52365	-4.52262	0.032567	-0.670435	-0.809639	0.027073
105401	0.565241	0.551909	0.000329164	0.844549	0.82463	48.1588	-5.36801	-5.34729	48.7128	-4.52346	-4.52266	0.0332984	-0.795257	-0.803893	0.027273
105601	0.533058	0.552041	0.000322736	0.796463	0.824827	47.2182	-5.31993	-5.34751	47.7703	-4.52347	-4.52268	0.0333688	-0.599612	-0.801937	0.026561
105801	0.567113	0.552233	0.000324254	0.847347	0.825113	47.4404	-5.37095	-5.34783	48.0142	-4.5236	-4.52271	0.0340052	-0.761873	-0.798342	0.0263404
106001	0.576084	0.552589	0.000319689	0.86075	0.825645	46.7725	-5.38405	-5.34838	47.3795	-4.5233	-4.52274	0.0340856	-0.819007	-0.796269	0.0256585
106201	0.589787	0.553187	0.000325649	0.881225	0.826539	47.6445	-5.40427	-5.34929	48.279	-4.52304	-4.52275	0.0333575	-0.905135	-0.796524	0.0249821
106401	0.539803	0.553079	0.000337398	0.806542	0.826377	49.3634	-5.32901	-5.34913	49.9768	-4.52247	-4.52275	0.0323757	-0.799018	-0.794466	0.0251402
106601	0.50844	0.552492	0.000349329	0.759681	0.825501	51.109	-5.28163	-5.34824	51.7754	-4.52195	-4.52274	0.0320704	-0.861246	-0.796261	0.0246481
106801	0.498064	0.551744	0.000366861	0.744178	0.824384	53.6741	-5.2658	-5.34709	54.4674	-4.52162	-4.52271	0.0329535	-0.813938	-0.801887	0.0252954
107001	0.519071	0.551006	0.000382958	0.775566	0.82328	56.0292	-5.29721	-5.34596	56.9548	-4.52165	-4.52268	0.0341809	-0.89267	-0.80596	0.0253584
107201	0.549529	0.550654	0.000381834	0.821073	0.822754	55.8647	-5.34316	-5.34541	56.8189	-4.52209	-4.52265	0.0344812	-0.897149	-0.809392	0.0253272
107401	0.540956	0.550718	0.000377011	0.808264	0.82285	55.1591	-5.33038	-5.34549	56.0816	-4.52212	-4.52264	0.033953	-0.699541	-0.809612	0.0247619
107601	0.52738	0.550383	0.000375168	0.78798	0.82235	54.8894	-5.30986	-5.34497	55.8315	-4.52188	-4.52262	0.0337756	-0.741864	-0.807137	0.0244006
107801	0.538704	0.550485	0.000369155	0.8049	0.822502	54.0097	-5.32648	-5.3451	54.9083	-4.52158	-4.5226	0.0341568	-0.963549	-0.81198	0.0249562
108001	0.525337	0.550007	0.000373938	0.784928	0.821788	54.7094	-5.30671	-5.34436	55.6767	-4.52178	-4.52258	0.0348009	-0.908102	-0.815355	0.0249518
108201	0.572994	0.549834	0.000373371	0.856134	0.821529	54.6265	-5.37872	-5.34409	55.5991	-4.52259	-4.52257	0.0343445	-1.1145	-0.819298	0.0251331
108401	0.571606	0.549827	0.00037537	0.85406	0.82152	54.919	-5.37687	-5.34409	55.8661	-4.52281	-4.52257	0.0336134	-0.906957	-0.820299	0.024984
108601	0.555649	0.550041	0.000373062	0.830218	0.821839	54.5812	-5.35292	-5.34441	55.5135	-4.5227	-4.52258	0.0328858	-0.855983	-0.820396	0.0245127
108801	0.575247	0.550516	0.000375657	0.8595	0.822548	54.961	-5.38246	-5.34513	55.8929	-4.52296	-4.52258	0.0322128	-0.952155	-0.823386	0.0243814
109001	0.568249	0.550583	0.000370792	0.849044	0.822649	54.2491	-5.3727	-5.34524	55.1682	-4.52365	-4.5226	0.032293	-0.71449	-0.821652	0.0241832
109201	0.565307	0.550718	0.000364622	0.844648	0.822851	53.3465	-5.36851	-5.34547	54.2784	-4.52386	-4.52262	0.033632	-0.666826	-0.817554	0.0244497
109401	0.591482	0.551069	0.000370967	0.883758	0.823374	54.2749	-5.40773	-5.34602	55.2784	-4.52397	-4.52265	0.0351846	-0.654167	-0.812836	0.0250587
109601	0.564878	0.551254	0.000370554	0.844008	0.823651	54.2144	-5.36764	-5.34632	55.2441	-4.52364	-4.52267	0.0361422	-0.606044	-0.806909	0.0262826
109801	0.582046	0.551335	0.000367717	0.869659	0.823772	53.7993	-5.39323	-5.34646	54.8236	-4.52357	-4.52269	0.0365313	-0.810823	-0.803522	0.026383
110001	0.573958	0.551587	0.000368953	0.857574	0.824148	53.9801	-5.38061	-5.34685	55.0104	-4.52304	-4.5227	0.0363539	-0.861048	-0.802198	0.0261378
110201	0.555763	0.551637	0.00036555	0.830387	0.824224	53.4823	-5.35276	-5.34693	54.4964	-4.52237	-4.5227	0.0356928	-0.909256	-0.802024	0.0257673
110401	0.535967	0.551535	0.000363661	0.800809	0.824071	53.2059	-5.32281	-5.34676	54.2157	-4.522	-4.52269	0.0354007	-1.1092	-0.806753	0.0265428
110601	0.545874	0.551208	0.000376095	0.815612	0.823582	55.0251	-5.33734	-5.34626	56.0671	-4.52173	-4.52268	0.0355271	-1.24411	-0.812758	0.0283096
110801	0.520538	0.550762	0.000380621	0.777757	0.822916	55.6872	-5.29925	-5.34557	56.8101	-4.52149	-4.52266	0.0363968	-1.01555	-0.818244	0.0294558
111001	0.506826	0.550375	0.000383144	0.75727	0.822338	56.0563	-5.27896	-5.34498	57.2399	-4.52169	-4.52264	0.0370941	-0.767533	-0.820673	0.0293425
111201	0.494801	0.550085	0.000387766	0.739302	0.821904	56.7325	-5.26125	-5.34453	57.9416	-4.52195	-4.52262	0.0372177	-0.624915	-0.822433	0.0293212
111401	0.520641	0.549702	0.000396785	0.777911	0.821332	58.0521	-5.29973	-5.34394	59.2947	-4.52182	-4.52261	0.0371943	-0.809582	-0.82271	0.029073
111601	0.522503	0.549386	0.000399729	0.780693	0.82086	58.4829	-5.30268	-5.34346	59.7461	-4.52199	-4.5226	0.037115	-0.682228	-0.822569	0.0288039
111801	0.52042	0.549023	0.00040367	0.77758	0.820318	59.0594	-5.29976	-5.34291	60.3351	-4.52218	-4.52259	0.0367601	-0.601659	-0.819934	0.0288281
112001	0.575691	0.548786	0.00040691	0.860163	0.819963	59.5335	-5.38259	-5.34255	60.8069	-4.52243	-4.52258	0.0362584	-0.947151	-0.818249	0.0287524
112201	0.543808	0.548597	0.000407693	0.812526	0.81968	59.648	-5.33491	-5.34226	60.9066	-4.52238	-4.52258	0.0356948	-0.702497	-0.816791	0.0285455
112401	0.568483	0.548751	0.0004064	0.849393	0.819911	59.4588	-5.3718	-5.34249	60.6911	-4.52241	-4.52258	0.0351622	-1.01841	-0.817377	0.0284379
112601	0.556177	0.548726	0.000401344	0.831006	0.819874	58.7192	-5.35335	-5.34245	59.9331	-4.52234	-4.52258	0.0346347	-0.987509	-0.819317	0.0282422
112801	0.531251	0.548835	0.000408762	0.793764	0.820037	59.8044	-5.31584	-5.34261	60.9977	-4.52208	-4.52257	0.0342351	-0.792087	-0.821017	0.0284443
