timestep            	T              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
100001	0.618005	0.618005	0	0.923387	0.923387	0	-4.8407	-4.8407	0	-3.91731	-3.91731	0	-0.473413	-0.473413	0
100201	0.660581	0.638374	0.000252405	0.987001	0.95382	36.9285	-4.90408	-4.871	36.8631	-3.91708	-3.91718	0.000376985	-0.889188	-0.712894	0.012431
100401	0.666678	0.654857	0.000505891	0.996111	0.978448	74.0151	-4.91315	-4.89557	73.7809	-3.91704	-3.91712	0.000415879	-0.834958	-0.793428	0.0143892
100601	0.611801	0.650802	0.000457567	0.914117	0.97239	66.9448	-4.83123	-4.88951	66.7954	-3.91712	-3.91711	0.000308099	-0.418649	-0.729875	0.0209393
100801	0.650567	0.651128	0.000448713	0.972039	0.972876	65.6495	-4.88894	-4.88995	65.4614	-3.9169	-3.91707	0.000642925	-0.716186	-0.716368	0.0202555
101001	0.679055	0.654712	0.000462562	1.0146	0.978231	67.6757	-4.93182	-4.8953	67.5229	-3.91721	-3.91707	0.000631557	-0.88778	-0.738869	0.019772
101201	0.66959	0.657712	0.0004424	1.00046	0.982714	64.7259	-4.91766	-4.89981	64.6761	-3.9172	-3.91709	0.000732489	-0.828199	-0.765983	0.0205964
101401	0.658422	0.65882	0.000401856	0.983775	0.98437	58.7941	-4.90115	-4.90149	58.7978	-3.91738	-3.91712	0.000961425	-0.694323	-0.759444	0.0182525
101601	0.654398	0.660494	0.00038301	0.977763	0.986871	56.0367	-4.89515	-4.90403	56.1201	-3.91739	-3.91716	0.00139979	-0.724648	-0.764486	0.0164068
101801	0.679693	0.662697	0.000421921	1.01556	0.990162	61.7297	-4.93288	-4.90734	61.8742	-3.91733	-3.91718	0.00151702	-0.822139	-0.776098	0.0169967
102001	0.680672	0.663625	0.000398486	1.01702	0.991549	58.301	-4.93428	-4.90874	58.4498	-3.91726	-3.91719	0.00141004	-0.829665	-0.772359	0.0157751
102201	0.651088	0.663905	0.000371217	0.972818	0.991968	54.3114	-4.89058	-4.90918	54.4427	-3.91776	-3.91721	0.00187892	-0.668777	-0.775909	0.0147025
102401	0.658311	0.663284	0.000361538	0.983609	0.991039	52.8952	-4.90182	-4.90832	52.9478	-3.91821	-3.91728	0.00516859	-0.517121	-0.758485	0.0170188
102601	0.66423	0.665753	0.00044151	0.992453	0.994729	64.5957	-4.91068	-4.91208	65.0597	-3.91823	-3.91735	0.0087593	-0.594451	-0.755852	0.0167011
102801	0.659831	0.667424	0.000487961	0.98588	0.997226	71.3917	-4.90428	-4.91465	72.1017	-3.9184	-3.91742	0.0120088	-0.514825	-0.749929	0.0172641
103001	0.659452	0.668304	0.0004801	0.985314	0.99854	70.2416	-4.90369	-4.91603	71.0683	-3.91838	-3.91748	0.0151884	-0.670143	-0.747078	0.0169208
103201	0.691308	0.669436	0.000481563	1.03291	1.00023	70.4557	-4.95101	-4.91776	71.3807	-3.91809	-3.91753	0.0165596	-0.908276	-0.753568	0.0170042
