timestep            	T              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
100001	0.548498	0.548498	0	0.819532	0.819532	0	-5.2646	-5.2646	0	-4.44506	-4.44506	0	-1.01005	-1.01005	0
100201	0.558232	0.548282	9.25516e-05	0.834077	0.819211	13.5409	-5.2784	-5.26393	13.3346	-4.44433	-4.44472	0.00347508	-1.22475	-1.10001	0.0070883
100401	0.519822	0.543889	0.000116865	0.776688	0.812646	17.0981	-5.22088	-5.25711	17.2481	-4.44419	-4.44446	0.00609561	-1.17322	-1.15964	0.00775727
100601	0.507941	0.533418	0.000308198	0.758935	0.797001	45.0914	-5.2032	-5.24138	45.5655	-4.44426	-4.44437	0.0051329	-1.02794	-1.13228	0.00685461
100801	0.514896	0.530459	0.000378378	0.769327	0.792581	55.359	-5.214	-5.23697	55.7515	-4.44467	-4.44439	0.00412263	-1.11819	-1.13623	0.00916058
101001	0.541873	0.534782	0.000412337	0.809634	0.799039	60.3274	-5.25506	-5.24356	61.1613	-4.44543	-4.44452	0.00852636	-0.975678	-1.15302	0.009915
101201	0.526481	0.535104	0.000388543	0.786637	0.79952	56.8462	-5.23268	-5.24425	57.6723	-4.44604	-4.44472	0.0211762	-0.722747	-1.09341	0.0272941
101401	0.532905	0.536123	0.000374416	0.796235	0.801042	54.7793	-5.24251	-5.24597	55.7732	-4.44628	-4.44493	0.0347041	-0.741401	-1.05316	0.0339768
101601	0.558278	0.536696	0.000346814	0.834146	0.8019	50.7411	-5.28063	-5.24701	51.7838	-4.44649	-4.44511	0.0459508	-0.861195	-1.01574	0.0400405
101801	0.554521	0.537051	0.000352441	0.828532	0.80243	51.5643	-5.27493	-5.24769	52.5886	-4.4464	-4.44526	0.0525988	-0.79723	-0.980807	0.0471791
102001	0.495416	0.537274	0.00036964	0.740221	0.802763	54.0807	-5.18617	-5.24812	55.0976	-4.44595	-4.44536	0.0525679	-0.545685	-0.958014	0.0482785
102201	0.543749	0.536884	0.000361518	0.812437	0.80218	52.8924	-5.25792	-5.24757	53.7755	-4.44548	-4.44539	0.0485345	-0.936691	-0.943494	0.0470426
102401	0.531194	0.537257	0.000340699	0.793678	0.802737	49.8464	-5.23925	-5.24813	50.6576	-4.44557	-4.44539	0.0445354	-0.890829	-0.943956	0.0433464
102601	0.545856	0.537683	0.000319594	0.815586	0.803374	46.7586	-5.26157	-5.2488	47.536	-4.44598	-4.44542	0.0417561	-0.839323	-0.940479	0.0403708
102801	0.565796	0.539458	0.000341002	0.845379	0.806026	49.8908	-5.29194	-5.25151	50.9082	-4.44656	-4.44548	0.0421567	-0.920317	-0.938096	0.0376161
103001	0.55736	0.541918	0.000412102	0.832775	0.809702	60.2931	-5.2796	-5.25527	61.8201	-4.44683	-4.44557	0.0460715	-0.688004	-0.935656	0.0359535
103201	0.561431	0.542172	0.00039074	0.838857	0.810081	57.1676	-5.2853	-5.25571	58.6479	-4.44644	-4.44563	0.0472931	-0.805592	-0.918901	0.0381332
103401	0.590044	0.543298	0.000404485	0.881608	0.811763	59.1787	-5.32824	-5.25745	60.7637	-4.44663	-4.44568	0.0471607	-0.972259	-0.913053	0.0369479
103601	0.551689	0.544048	0.000403914	0.824301	0.812884	59.0951	-5.27076	-5.25862	60.7197	-4.44646	-4.44574	0.0475135	-0.712097	-0.904383	0.0365448
103801	0.553268	0.544391	0.000386229	0.82666	0.813396	56.5077	-5.27303	-5.25916	58.0893	-4.44638	-4.44577	0.0463452	-0.871738	-0.898206	0.0354152
104001	0.527369	0.544464	0.000373519	0.787964	0.813506	54.6481	-5.23396	-5.2593	56.1696	-4.446	-4.44579	0.0448975	-0.839768	-0.896482	0.0337545
104201	0.547962	0.543923	0.000374675	0.818732	0.812697	54.8172	-5.26368	-5.25847	56.2712	-4.44495	-4.44578	0.0435092	-1.17343	-0.901373	0.0336705
104401	0.561549	0.54394	0.000360314	0.839033	0.812723	52.7162	-5.28348	-5.25845	54.1028	-4.44445	-4.44573	0.0451271	-1.2741	-0.91423	0.0356645
104601	0.475023	0.543432	0.000386066	0.709752	0.811964	56.4839	-5.15424	-5.25763	57.9277	-4.44449	-4.44567	0.0475602	-0.783748	-0.922894	0.0369778
104801	0.557171	0.542519	0.000407611	0.832492	0.8106	59.636	-5.27697	-5.25622	61.2331	-4.44448	-4.44562	0.0495478	-1.25616	-0.927418	0.0365445
105001	0.545774	0.543217	0.000408717	0.815464	0.811643	59.7978	-5.26038	-5.25722	61.2068	-4.44491	-4.44558	0.0498514	-1.07417	-0.939823	0.0390385
105201	0.544345	0.543047	0.000398285	0.813328	0.811389	58.2715	-5.25825	-5.25695	59.6479	-4.44492	-4.44556	0.0489497	-1.07566	-0.941522	0.0378456
105401	0.518437	0.542516	0.000396087	0.774618	0.810595	57.9499	-5.21989	-5.25613	59.3312	-4.44528	-4.44554	0.0478016	-0.927049	-0.945897	0.0371754
105601	0.524612	0.542614	0.000387847	0.783845	0.810741	56.7445	-5.22975	-5.25628	58.0837	-4.44591	-4.44554	0.0461951	-0.545285	-0.941543	0.0368626
105801	0.556468	0.542668	0.00037786	0.831442	0.810823	55.2833	-5.27788	-5.25639	56.5908	-4.44644	-4.44556	0.0458206	-0.737371	-0.931061	0.0387602
106001	0.563308	0.543285	0.000377555	0.841661	0.811745	55.2387	-5.28801	-5.25734	56.5952	-4.44635	-4.44559	0.0456024	-0.818197	-0.925607	0.0383665
106201	0.546636	0.543797	0.000375669	0.816752	0.812509	54.9627	-5.26285	-5.25812	56.3436	-4.4461	-4.44561	0.0450974	-0.789141	-0.923877	0.0373463
