timestep            	T              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
100001	0.387433	0.387433	0	0.57888	0.57888	0	-5.85747	-5.85747	0	-5.27859	-5.27859	0	-0.851722	-0.851722	0
100201	0.403064	0.3903	4.13152e-05	0.602234	0.583164	6.04467	-5.8812	-5.86196	6.05285	-5.27897	-5.2788	0.000821107	-0.912238	-0.817439	0.00231991
100401	0.408797	0.400133	0.000144074	0.610801	0.597856	21.0789	-5.89028	-5.87686	21.4395	-5.27948	-5.279	0.00380106	-0.807676	-0.86706	0.00647127
100601	0.396463	0.396779	0.000169673	0.592371	0.592844	24.8242	-5.87208	-5.87206	24.7573	-5.27971	-5.27921	0.00853357	-0.705925	-0.802932	0.0142178
100801	0.378749	0.393772	0.000166613	0.565905	0.588351	24.3765	-5.84598	-5.86773	24.0441	-5.28008	-5.27938	0.0120381	-0.592422	-0.758906	0.0169323
101001	0.413567	0.390471	0.000208903	0.617927	0.583418	30.5638	-5.89762	-5.8629	29.9908	-5.27969	-5.27948	0.0126689	-0.863248	-0.72673	0.0196117
101201	0.370844	0.392382	0.000243724	0.554094	0.586274	35.6584	-5.83398	-5.8658	35.2292	-5.27989	-5.27953	0.011368	-0.667568	-0.741763	0.0187762
101401	0.406839	0.391921	0.000236674	0.607874	0.585586	34.627	-5.88725	-5.86514	34.2611	-5.27938	-5.27955	0.010158	-0.819372	-0.744517	0.017075
101601	0.380694	0.39012	0.000284087	0.568811	0.582895	41.5637	-5.84802	-5.86241	41.3567	-5.27921	-5.27951	0.00960871	-0.745441	-0.739018	0.0165367
101801	0.387795	0.389703	0.00025962	0.579421	0.582271	37.9841	-5.85845	-5.86175	37.8166	-5.27903	-5.27947	0.00925777	-0.801413	-0.740407	0.0149782
102001	0.360578	0.38759	0.000277814	0.538754	0.579113	40.646	-5.81728	-5.85852	40.7838	-5.27853	-5.2794	0.011548	-0.76706	-0.743872	0.0136072
