time-step	lambda
0	-0.999963
1	-0.999852
2	-0.999668
3	-0.99941
4	-0.999078
5	-0.998672
6	-0.998192
7	-0.997639
8	-0.997013
9	-0.996313
10	-0.99554
11	-0.994694
12	-0.993774
13	-0.992782
14	-0.991717
15	-0.990579
16	-0.989369
17	-0.988086
18	-0.986732
19	-0.985305
20	-0.983807
21	-0.982237
22	-0.980596
23	-0.978885
24	-0.977102
25	-0.97525
26	-0.973327
27	-0.971335
28	-0.969274
29	-0.967144
30	-0.964945
31	-0.962678
32	-0.960344
33	-0.957942
34	-0.955474
35	-0.952939
36	-0.95034
37	-0.947675
38	-0.944946
39	-0.942153
40	-0.939297
41	-0.936378
42	-0.933398
43	-0.930357
44	-0.927256
45	-0.924096
46	-0.920878
47	-0.917602
48	-0.914269
49	-0.910882
50	-0.90744
51	-0.903944
52	-0.900397
53	-0.896799
54	-0.893151
55	-0.889454
56	-0.885711
57	-0.881922
58	-0.87809
59	-0.874214
60	-0.870298
61	-0.866342
62	-0.862349
63	-0.85832
64	-0.854256
65	-0.850161
66	-0.846035
67	-0.841881
68	-0.8377
69	-0.833496
70	-0.829269
71	-0.825022
72	-0.820757
73	-0.816477
74	-0.812183
75	-0.807878
76	-0.803565
77	-0.799245
78	-0.794921
79	-0.790595
80	-0.786269
81	-0.781946
82	-0.777628
83	-0.773318
84	-0.769016
85	-0.764726
86	-0.76045
87	-0.75619
88	-0.751946
89	-0.747723
90	-0.74352
91	-0.739341
92	-0.735186
93	-0.731057
94	-0.726956
95	-0.722883
96	-0.718841
97	-0.71483
98	-0.710852
99	-0.706907
100	-0.702996
101	-0.69912
102	-0.695279
103	-0.691475
104	-0.687707
105	-0.683977
106	-0.680283
107	-0.676627
108	-0.673009
109	-0.669429
110	-0.665887
111	-0.662382
112	-0.658915
113	-0.655485
114	-0.652092
115	-0.648737
116	-0.645418
117	-0.642135
118	-0.638888
119	-0.635676
120	-0.632499
121	-0.629357
122	-0.626248
123	-0.623173
124	-0.62013
125	-0.61712
126	-0.614141
127	-0.611194
128	-0.608276
129	-0.605389
130	-0.602531
131	-0.599701
132	-0.596899
133	-0.594125
134	-0.591377
135	-0.588655
136	-0.585959
137	-0.583288
138	-0.580642
139	-0.57802
140	-0.57542
141	-0.572844
142	-0.57029
143	-0.567758
144	-0.565248
145	-0.562758
146	-0.560289
147	-0.557841
148	-0.555411
149	-0.553002
150	-0.550611
151	-0.548238
152	-0.545884
153	-0.543548
154	-0.54123
155	-0.538929
156	-0.536645
157	-0.534377
158	-0.532126
159	-0.529891
160	-0.527673
161	-0.52547
162	-0.523282
163	-0.52111
164	-0.518952
165	-0.51681
166	-0.514682
167	-0.512568
168	-0.510469
169	-0.508384
170	-0.506312
171	-0.504254
172	-0.50221
173	-0.500178
174	-0.49816
175	-0.496155
176	-0.494163
177	-0.492183
178	-0.490216
179	-0.488261
180	-0.486318
181	-0.484387
182	-0.482469
183	-0.480562
184	-0.478667
185	-0.476784
186	-0.474912
187	-0.473052
188	-0.471203
189	-0.469366
190	-0.46754
191	-0.465726
192	-0.463922
193	-0.46213
194	-0.460349
195	-0.458579
196	-0.45682
197	-0.455073
198	-0.453336
199	-0.451611
200	-0.449896
201	-0.448193
202	-0.446501
203	-0.44482
204	-0.443149
205	-0.44149
206	-0.439842
207	-0.438204
208	-0.436578
209	-0.434963
210	-0.433358
211	-0.431765
212	-0.430182
213	-0.42861
214	-0.427049
215	-0.425499
216	-0.423959
217	-0.42243
218	-0.420911
219	-0.419403
220	-0.417905
221	-0.416418
222	-0.41494
223	-0.413473
224	-0.412016
225	-0.410568
226	-0.409131
227	-0.407703
228	-0.406284
229	-0.404875
230	-0.403475
231	-0.402084
232	-0.400702
233	-0.399329
234	-0.397964
235	-0.396608
236	-0.395261
237	-0.393921
238	-0.39259
239	-0.391267
240	-0.389952
241	-0.388644
242	-0.387344
243	-0.386051
244	-0.384766
245	-0.383488
246	-0.382216
247	-0.380952
248	-0.379695
249	-0.378444
250	-0.377201
251	-0.375963
