timestep            	T              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
147601	1.31552	1.35459	0.00132625	1.96557	2.02395	194.038	-4.38851	-4.44679	194.113	-2.42293	-2.42284	0.00237114	1.71443	1.44998	0.0489482
147801	1.35957	1.35456	0.00132359	2.03139	2.02391	193.649	-4.45455	-4.44674	193.723	-2.42315	-2.42284	0.00236996	1.58078	1.45085	0.0490027
148001	1.38495	1.35457	0.00131879	2.06931	2.02391	192.948	-4.49259	-4.44675	193.022	-2.42327	-2.42284	0.00240122	1.42044	1.45162	0.0489553
148201	1.29497	1.35473	0.00132736	1.93487	2.02416	194.201	-4.35766	-4.447	194.285	-2.42279	-2.42284	0.0024104	1.70591	1.45059	0.0492083
148401	1.36499	1.3547	0.00132539	2.03949	2.02411	193.913	-4.4623	-4.44695	193.997	-2.4228	-2.42284	0.00240172	1.37734	1.45044	0.0491211
148601	1.30947	1.35465	0.00132192	1.95654	2.02404	193.405	-4.37946	-4.44688	193.488	-2.42293	-2.42284	0.00239258	1.58463	1.45055	0.0489491
148801	1.2914	1.35461	0.00132144	1.92953	2.02397	193.335	-4.35234	-4.44681	193.418	-2.42282	-2.42284	0.00238411	1.72308	1.45056	0.0488624
149001	1.32258	1.3546	0.00132232	1.97611	2.02397	193.464	-4.39913	-4.44681	193.548	-2.42302	-2.42284	0.0023769	1.81433	1.45071	0.0488776
149201	1.3862	1.35452	0.00132138	2.07118	2.02385	193.326	-4.49445	-4.44669	193.405	-2.42327	-2.42284	0.00239705	1.19786	1.45131	0.0489513
149401	1.40652	1.35462	0.00132017	2.10154	2.024	193.15	-4.52434	-4.44684	193.233	-2.4228	-2.42284	0.00241099	1.19143	1.45045	0.0489695
149601	1.34495	1.35466	0.0013211	2.00955	2.02405	193.285	-4.43241	-4.44689	193.368	-2.42286	-2.42284	0.00240601	1.4599	1.45037	0.0489409
149801	1.36965	1.35468	0.00131717	2.04646	2.02408	192.71	-4.46925	-4.44693	192.794	-2.42279	-2.42284	0.00239685	1.30209	1.45016	0.0487763
150001	1.39813	1.3547	0.00131377	2.089	2.02411	192.212	-4.51169	-4.44695	192.295	-2.42269	-2.42284	0.00238894	1.25774	1.45004	0.0486417
150201	1.34132	1.35476	0.00131467	2.00412	2.02421	192.345	-4.42692	-4.44705	192.425	-2.4228	-2.42284	0.00238395	1.50549	1.44994	0.0485623
150401	1.31969	1.35468	0.00131469	1.9718	2.02409	192.347	-4.39477	-4.44693	192.425	-2.42297	-2.42284	0.00237679	1.56849	1.45021	0.0484809
150601	1.3941	1.35457	0.00131702	2.08298	2.02392	192.689	-4.50602	-4.44677	192.764	-2.42304	-2.42284	0.00237196	1.11489	1.45038	0.0484654
150801	1.38172	1.35466	0.00131664	2.06448	2.02406	192.633	-4.48737	-4.4469	192.711	-2.42289	-2.42284	0.00237309	1.22474	1.44964	0.0484992
151001	1.33385	1.35453	0.00132143	1.99295	2.02385	193.334	-4.41561	-4.4467	193.414	-2.42266	-2.42284	0.00236641	1.54879	1.45012	0.048509
151201	1.30829	1.35444	0.00132411	1.95477	2.02372	193.726	-4.3773	-4.44656	193.812	-2.42252	-2.42284	0.00237578	1.71755	1.45097	0.0486887
151401	1.31601	1.35443	0.00132299	1.96631	2.02371	193.561	-4.38906	-4.44655	193.646	-2.42275	-2.42284	0.00238457	1.79703	1.45131	0.04866
151601	1.32182	1.35448	0.00132274	1.97499	2.02379	193.525	-4.39783	-4.44663	193.611	-2.42284	-2.42284	0.00237567	1.67067	1.45174	0.0485867
151801	1.34442	1.35447	0.00131827	2.00875	2.02377	192.871	-4.43147	-4.44661	192.956	-2.42272	-2.42284	0.0023673	1.52112	1.45193	0.0484251
152001	1.34537	1.35443	0.00131556	2.01017	2.02372	192.475	-4.43295	-4.44656	192.561	-2.42278	-2.42284	0.0023624	1.47856	1.45206	0.0482893
152201	1.33777	1.35447	0.001313	1.99882	2.02377	192.1	-4.42166	-4.44661	192.186	-2.42284	-2.42284	0.00235358	1.48784	1.4518	0.0481763
152401	1.33657	1.35453	0.00131028	1.99703	2.02385	191.702	-4.41988	-4.4467	191.787	-2.42285	-2.42284	0.00234466	1.6183	1.45165	0.0480289
152601	1.33387	1.35455	0.00130747	1.993	2.02389	191.291	-4.41555	-4.44673	191.376	-2.42255	-2.42284	0.00233954	1.51774	1.45173	0.0478979
152801	1.35279	1.35453	0.00130568	2.02126	2.02386	191.029	-4.44388	-4.4467	191.114	-2.42263	-2.42284	0.00234576	1.32368	1.45158	0.0477752
