timestep            	T              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
100001	0.582362	0.582362	0	0.87013	0.87013	0	-5.08859	-5.08859	0	-4.21846	-4.21846	0	-0.811252	-0.811252	0
100201	0.614723	0.584222	0.000187374	0.918482	0.872909	27.4139	-5.13736	-5.09157	27.7201	-4.21888	-4.21866	0.00108631	-1.02637	-0.840775	0.00856993
100401	0.575336	0.587546	0.000226553	0.859633	0.877876	33.1461	-5.07854	-5.09667	33.3793	-4.2189	-4.21879	0.00164538	-0.761038	-0.844164	0.00953673
100601	0.547978	0.589464	0.000275941	0.818756	0.880742	40.3718	-5.03792	-5.09961	40.5182	-4.21916	-4.21887	0.0020234	-0.455929	-0.833002	0.01428
100801	0.595361	0.587877	0.000312115	0.889553	0.878371	45.6643	-5.10895	-5.09734	45.7228	-4.2194	-4.21897	0.00358871	-0.637111	-0.769865	0.0246831
101001	0.599116	0.589916	0.000322232	0.895163	0.881417	47.1446	-5.11437	-5.10047	47.2923	-4.21921	-4.21905	0.00489342	-0.920857	-0.767792	0.0254039
101201	0.553079	0.587928	0.000315932	0.826377	0.878446	46.2228	-5.04535	-5.0975	46.353	-4.21897	-4.21906	0.00411585	-0.598777	-0.773655	0.022465
101401	0.61952	0.587613	0.000326671	0.92565	0.877976	47.7941	-5.14434	-5.097	47.873	-4.21869	-4.21903	0.00395626	-1.03908	-0.77439	0.0219317
101601	0.598537	0.588255	0.000301884	0.894299	0.878936	44.1675	-5.11258	-5.09789	44.1969	-4.21828	-4.21896	0.00566838	-1.17607	-0.802392	0.0251682
101801	0.577537	0.589059	0.000293181	0.862921	0.880137	42.8942	-5.08096	-5.099	42.8238	-4.21804	-4.21886	0.00964998	-1.20753	-0.854363	0.0443452
102001	0.596176	0.588609	0.000275464	0.89077	0.879465	40.3022	-5.10907	-5.09826	40.3097	-4.2183	-4.21879	0.0119544	-1.16548	-0.887924	0.0502176
102201	0.571449	0.588312	0.000256911	0.853826	0.879021	37.5877	-5.0722	-5.09777	37.6197	-4.21837	-4.21875	0.0119738	-0.925695	-0.899869	0.0473401
102401	0.571725	0.588488	0.000246959	0.854238	0.879283	36.1317	-5.07278	-5.09801	36.1574	-4.21854	-4.21873	0.0113679	-0.927005	-0.909454	0.0446497
102601	0.59957	0.588234	0.000277886	0.895842	0.878905	40.6565	-5.11435	-5.09762	40.6844	-4.21851	-4.21871	0.0107023	-1.08418	-0.91809	0.0435873
102801	0.590885	0.587795	0.000263232	0.882865	0.878249	38.5124	-5.10151	-5.09695	38.5463	-4.21864	-4.2187	0.00998758	-1.03261	-0.918929	0.0406957
103001	0.620047	0.589247	0.00030229	0.926438	0.880417	44.227	-5.14496	-5.09911	44.2226	-4.21852	-4.21869	0.00940546	-1.2657	-0.936083	0.0429333
103201	0.576917	0.588244	0.000314597	0.861995	0.878919	46.0275	-5.08064	-5.0976	46.0489	-4.21864	-4.21869	0.00890697	-0.945238	-0.937229	0.0410986
103401	0.593127	0.587316	0.000338157	0.886215	0.877533	49.4744	-5.10502	-5.09622	49.4989	-4.2188	-4.21869	0.00839082	-1.08219	-0.938093	0.0395757
103601	0.618934	0.587863	0.000340946	0.924774	0.878351	49.8826	-5.14371	-5.09705	49.9309	-4.21894	-4.2187	0.00807698	-1.11362	-0.944911	0.0383784
103801	0.610435	0.589002	0.000364618	0.912076	0.880052	53.3459	-5.13127	-5.09877	53.4762	-4.21919	-4.21872	0.00811443	-0.83294	-0.943819	0.036904
