timestep            	T              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
100001	0.59114	0.59114	0	0.883247	0.883247	0	-5.25414	-5.25414	0	-4.37089	-4.37089	0	-0.924356	-0.924356	0
100201	0.543064	0.556979	0.000661912	0.811414	0.832204	96.8419	-5.18225	-5.20301	96.9082	-4.37084	-4.37081	5.20714e-05	-0.72517	-0.760671	0.0139059
100401	0.551629	0.558156	0.000407731	0.824211	0.833964	59.6537	-5.19496	-5.20477	59.6666	-4.37075	-4.37081	6.13551e-05	-0.770114	-0.778139	0.00861374
100601	0.54037	0.559474	0.00031097	0.807388	0.835933	45.4968	-5.1782	-5.20674	45.5138	-4.37081	-4.3708	8.05981e-05	-0.729225	-0.787549	0.00664212
100801	0.567845	0.558016	0.00035587	0.848441	0.833755	52.066	-5.21897	-5.20453	52.0353	-4.37053	-4.37077	0.000365966	-0.886303	-0.786885	0.00870016
101001	0.547526	0.557212	0.00029916	0.818081	0.832553	43.7689	-5.18808	-5.20323	43.8037	-4.37	-4.37068	0.00287563	-0.911052	-0.80322	0.00858576
101201	0.563211	0.557832	0.00026874	0.841516	0.83348	39.3183	-5.21066	-5.20397	39.1748	-4.36915	-4.37049	0.014471	-1.24568	-0.853428	0.0221989
101401	0.541871	0.556513	0.000249693	0.809632	0.831508	36.5316	-5.17802	-5.20175	36.8562	-4.36839	-4.37025	0.0370669	-1.15469	-0.903032	0.0339935
101601	0.553673	0.556839	0.000224362	0.827265	0.831996	32.8255	-5.19595	-5.20202	33.0313	-4.36868	-4.37002	0.0559675	-1.08019	-0.942342	0.0410073
101801	0.547159	0.555887	0.000214385	0.817533	0.830574	31.3658	-5.18641	-5.20046	31.7673	-4.36887	-4.36988	0.0597926	-1.08822	-0.952684	0.0378431
102001	0.559721	0.554592	0.000212399	0.836302	0.828639	31.0752	-5.20548	-5.19843	31.6444	-4.36918	-4.3698	0.0582925	-1.07542	-0.958712	0.0345657
102201	0.55347	0.553708	0.000213682	0.826962	0.827318	31.263	-5.19636	-5.19707	31.8434	-4.3694	-4.36975	0.0542093	-1.00619	-0.956644	0.0321583
102401	0.547678	0.554282	0.000201892	0.818307	0.828176	29.538	-5.18757	-5.1979	30.0327	-4.36927	-4.36972	0.0504631	-1.10642	-0.96922	0.0313114
102601	0.561189	0.55487	0.000200301	0.838496	0.829053	29.3053	-5.20809	-5.19875	29.7369	-4.36959	-4.36969	0.0472228	-1.00905	-0.98009	0.0304281
102801	0.578662	0.556079	0.000209815	0.864602	0.830861	30.6972	-5.23442	-5.20056	31.1191	-4.36982	-4.3697	0.043897	-1.02606	-0.982571	0.0284137
103001	0.594672	0.556927	0.000223388	0.888523	0.832128	32.6831	-5.25865	-5.20184	33.1306	-4.37013	-4.36972	0.041278	-0.973375	-0.977895	0.027145
103201	0.549258	0.557257	0.000222975	0.820669	0.832621	32.6226	-5.19115	-5.20237	33.0654	-4.37048	-4.36975	0.0402071	-0.623263	-0.96164	0.030117
103401	0.57306	0.558861	0.00026303	0.856233	0.835016	38.4829	-5.22642	-5.20481	39.083	-4.37019	-4.36979	0.0392857	-0.649325	-0.951784	0.0302888
103601	0.563054	0.559578	0.000262265	0.841282	0.836089	38.371	-5.21103	-5.20589	38.958	-4.36975	-4.3698	0.0372443	-0.791095	-0.939626	0.0314182
103801	0.53586	0.558974	0.000261502	0.80065	0.835186	38.2594	-5.17022	-5.20498	38.8405	-4.36957	-4.36979	0.0353989	-0.833253	-0.93334	0.0305336
104001	0.543953	0.55832	0.000263952	0.812742	0.834209	38.6178	-5.18221	-5.20398	39.202	-4.36947	-4.36977	0.0339034	-0.800986	-0.930258	0.0292546
104201	0.529918	0.558331	0.00026256	0.791771	0.834225	38.4141	-5.16134	-5.20399	38.9754	-4.36957	-4.36977	0.0324164	-0.87876	-0.931716	0.0286004
104401	0.52466	0.55662	0.00031272	0.783915	0.831669	45.7528	-5.15304	-5.20142	46.4259	-4.36913	-4.36975	0.0314928	-0.950779	-0.926728	0.0279199
104601	0.549314	0.555899	0.000324481	0.820752	0.830592	47.4735	-5.1894	-5.2003	48.2172	-4.36865	-4.36971	0.0320879	-1.26952	-0.937364	0.0301422
104801	0.51502	0.554204	0.000396343	0.769512	0.828059	57.9874	-5.13778	-5.19772	59.1264	-4.36827	-4.36966	0.0350487	-1.16144	-0.944082	0.0303173
105001	0.519181	0.553266	0.000406575	0.775729	0.826657	59.4845	-5.14395	-5.19625	60.844	-4.36822	-4.3696	0.0392111	-1.11641	-0.957343	0.0336915
105201	0.550561	0.552242	0.000425302	0.822616	0.825128	62.2243	-5.19122	-5.19468	63.7791	-4.3686	-4.36955	0.041287	-1.20167	-0.962975	0.0333179
