timestep            	T              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
151801	0.58989	0.581997	0.000607833	0.881378	0.869586	88.9297	-5.17793	-5.16445	91.7919	-4.29655	-4.29486	0.0580648	-0.51678	-0.880922	0.0324872
152001	0.609202	0.582024	0.000606997	0.910233	0.869626	88.8074	-5.20735	-5.1645	91.6713	-4.29712	-4.29487	0.0587959	-0.588237	-0.87943	0.032969
152201	0.610537	0.582191	0.000612551	0.912228	0.869875	89.62	-5.20954	-5.16475	92.5518	-4.29731	-4.29488	0.0599805	-0.432159	-0.878387	0.0331544
152401	0.647934	0.58236	0.000618256	0.968104	0.870128	90.4547	-5.26583	-5.16502	93.4679	-4.29772	-4.29489	0.0615938	-0.646644	-0.877014	0.0335402
152601	0.621727	0.582543	0.000625758	0.928948	0.870401	91.5523	-5.22632	-5.1653	94.6516	-4.29737	-4.2949	0.063168	-0.488418	-0.875702	0.0338982
152801	0.635628	0.582633	0.00062766	0.949718	0.870535	91.8305	-5.24679	-5.16544	94.9584	-4.29707	-4.29491	0.0642106	-0.711898	-0.874345	0.0343531
153001	0.640317	0.582761	0.000630004	0.956724	0.870726	92.1735	-5.2532	-5.16564	95.337	-4.29648	-4.29492	0.0648721	-0.744447	-0.873328	0.034511
153201	0.557563	0.582877	0.000633247	0.833077	0.8709	92.648	-5.12907	-5.16582	95.8326	-4.29599	-4.29492	0.0650764	-0.40622	-0.872405	0.0346433
153401	0.609086	0.583004	0.000638408	0.91006	0.87109	93.4031	-5.20538	-5.16601	96.5926	-4.29532	-4.29492	0.0649656	-0.955858	-0.872265	0.0346367
153601	0.578633	0.583035	0.000637319	0.864559	0.871136	93.2437	-5.15954	-5.16606	96.4235	-4.29498	-4.29492	0.0647325	-0.937768	-0.872525	0.0345366
153801	0.598555	0.583093	0.000636055	0.894325	0.871223	93.0588	-5.18947	-5.16615	96.2286	-4.29514	-4.29492	0.064498	-1.08448	-0.873329	0.0345903
154001	0.584545	0.583059	0.000634871	0.873393	0.871172	92.8855	-5.16893	-5.1661	96.0395	-4.29554	-4.29493	0.0643116	-0.961473	-0.873497	0.0344992
154201	0.575576	0.583085	0.000636236	0.859991	0.871211	93.0853	-5.15526	-5.16614	96.2315	-4.29527	-4.29493	0.0641436	-0.762711	-0.873688	0.0345227
154401	0.580618	0.583026	0.000635043	0.867525	0.871123	92.9108	-5.16225	-5.16605	96.0452	-4.29473	-4.29493	0.0639157	-0.867825	-0.873297	0.0344447
154601	0.550922	0.583067	0.000634944	0.823155	0.871183	92.8963	-5.11805	-5.16611	96.0173	-4.2949	-4.29493	0.0636898	-0.606079	-0.873568	0.0344204
154801	0.575657	0.582987	0.000634627	0.860112	0.871065	92.8499	-5.15538	-5.16599	95.9559	-4.29527	-4.29493	0.0634777	-0.629637	-0.872505	0.034607
155001	0.556657	0.582995	0.000632585	0.831724	0.871076	92.5511	-5.12678	-5.16601	95.6462	-4.29505	-4.29493	0.0632589	-0.718879	-0.872073	0.0345434
155201	0.577551	0.583021	0.000632123	0.862942	0.871116	92.4835	-5.15792	-5.16605	95.5671	-4.29498	-4.29493	0.0630306	-0.945907	-0.872502	0.0345484
155401	0.604035	0.583002	0.000630141	0.902513	0.871086	92.1936	-5.19747	-5.16602	95.2657	-4.29496	-4.29493	0.0628042	-1.05845	-0.872529	0.0344348
155601	0.608335	0.583074	0.000629561	0.908938	0.871195	92.1087	-5.2038	-5.16612	95.1691	-4.29486	-4.29493	0.0625793	-1.11902	-0.873404	0.0345259
155801	0.583754	0.583081	0.000628608	0.872211	0.871205	91.9693	-5.16676	-5.16613	95.0183	-4.29455	-4.29493	0.0623632	-0.797308	-0.873593	0.0344474
156001	0.555703	0.583046	0.000627308	0.830299	0.871153	91.7791	-5.12443	-5.16608	94.822	-4.29413	-4.29493	0.0622228	-0.770095	-0.873137	0.0343836
156201	0.573895	0.583032	0.000625271	0.857479	0.871132	91.4811	-5.15124	-5.16605	94.516	-4.29376	-4.29492	0.0622545	-1.05448	-0.873617	0.0343465
156401	0.564261	0.582951	0.000625755	0.843085	0.871011	91.5519	-5.13727	-5.16593	94.5917	-4.29418	-4.29492	0.0622842	-0.839772	-0.873806	0.0342846
156601	0.579162	0.58292	0.000624105	0.86535	0.870964	91.3104	-5.16004	-5.16588	94.3429	-4.29469	-4.29492	0.0621123	-0.807025	-0.873711	0.034169
156801	0.584325	0.582876	0.000622882	0.873064	0.870899	91.1315	-5.16771	-5.16582	94.155	-4.29465	-4.29492	0.0619043	-0.85844	-0.873298	0.0341169
157001	0.552826	0.582827	0.000621764	0.826	0.870826	90.9679	-5.12032	-5.16574	93.9857	-4.29432	-4.29492	0.061735	-0.729567	-0.872927	0.034048
157201	0.522218	0.582688	0.000626075	0.780267	0.870618	91.5986	-5.07412	-5.16553	94.6286	-4.29385	-4.29491	0.0616744	-0.81219	-0.872724	0.0339747
157401	0.559494	0.582561	0.000628768	0.835963	0.870427	91.9927	-5.12965	-5.16534	95.042	-4.29369	-4.29491	0.0617839	-1.05393	-0.872949	0.0338814
157601	0.57014	0.582495	0.000627874	0.85187	0.87033	91.8619	-5.14545	-5.16523	94.9167	-4.29358	-4.2949	0.0619147	-1.04962	-0.87355	0.0338691
157801	0.57691	0.582411	0.000628169	0.861984	0.870204	91.905	-5.15545	-5.1651	94.9728	-4.29347	-4.2949	0.0621468	-1.04406	-0.873876	0.0337971
158001	0.582327	0.582368	0.000627437	0.870078	0.87014	91.798	-5.16346	-5.16503	94.8676	-4.29338	-4.29489	0.0623918	-1.05528	-0.874247	0.0337485
158201	0.570466	0.582308	0.000626474	0.852356	0.870051	91.6571	-5.1455	-5.16494	94.7364	-4.29315	-4.29489	0.0628113	-1.07446	-0.874772	0.0337169
158401	0.560162	0.582274	0.000625126	0.83696	0.869999	91.4599	-5.13011	-5.16488	94.5412	-4.29315	-4.29488	0.0632792	-0.959734	-0.875482	0.0337679
158601	0.529171	0.582218	0.00062476	0.790656	0.869916	91.4063	-5.08398	-5.16479	94.4956	-4.29332	-4.29488	0.0636795	-0.675967	-0.875655	0.0336974
158801	0.544744	0.582147	0.00062653	0.813925	0.86981	91.6653	-5.10771	-5.16468	94.7623	-4.29378	-4.29487	0.0638631	-0.798979	-0.875725	0.0336573
159001	0.570628	0.582112	0.000626101	0.852599	0.869756	91.6025	-5.14662	-5.16463	94.6964	-4.29402	-4.29487	0.0638415	-0.91748	-0.875883	0.0335928
159201	0.58142	0.582078	0.000624642	0.868723	0.869706	91.3891	-5.16299	-5.16457	94.4777	-4.29427	-4.29487	0.0637625	-1.07447	-0.876092	0.0334991
159401	0.558598	0.582141	0.000625305	0.834625	0.869801	91.486	-5.12953	-5.16467	94.5597	-4.29491	-4.29487	0.0635717	-0.812764	-0.877144	0.0338188
159601	0.574262	0.582132	0.000623567	0.858028	0.869787	91.2318	-5.15301	-5.16465	94.2951	-4.29498	-4.29487	0.0633629	-0.700009	-0.876854	0.0337424
159801	0.564396	0.582124	0.000621853	0.843287	0.869775	90.981	-5.13788	-5.16464	94.0341	-4.29459	-4.29487	0.0631557	-0.869651	-0.876798	0.033662
160001	0.574491	0.582043	0.00062194	0.858371	0.869654	90.9937	-5.15281	-5.16452	94.0418	-4.29444	-4.29487	0.0629695	-1.09737	-0.876974	0.0335789
160201	0.570982	0.582049	0.000620311	0.853128	0.869663	90.7554	-5.14744	-5.16453	93.7932	-4.29431	-4.29486	0.0628118	-1.05624	-0.8778	0.0336835
160401	0.593866	0.582099	0.000620087	0.887319	0.869737	90.7226	-5.18165	-5.1646	93.7448	-4.29433	-4.29486	0.0626744	-0.897209	-0.878411	0.0337754
160601	0.604024	0.582143	0.000619947	0.902496	0.869804	90.7021	-5.19733	-5.16466	93.7106	-4.29483	-4.29486	0.0624985	-0.9021	-0.878363	0.0337063
160801	0.59313	0.582126	0.000619549	0.886219	0.869778	90.6439	-5.18148	-5.16464	93.6425	-4.29526	-4.29486	0.0623059	-0.769663	-0.877962	0.033672
161001	0.570237	0.582119	0.000617904	0.852014	0.869768	90.4032	-5.14754	-5.16463	93.3916	-4.29553	-4.29486	0.0621714	-0.596007	-0.877165	0.0337636
161201	0.552756	0.582098	0.000616586	0.825895	0.869736	90.2104	-5.12139	-5.1646	93.1865	-4.2955	-4.29486	0.0620512	-0.555933	-0.876393	0.0338444
161401	0.598845	0.582117	0.000616181	0.894759	0.869765	90.1511	-5.19028	-5.16463	93.1205	-4.29552	-4.29487	0.0619453	-0.980875	-0.87628	0.0338411
161601	0.597657	0.582167	0.000615609	0.892983	0.869839	90.0674	-5.18831	-5.16471	93.0326	-4.29533	-4.29487	0.0618107	-0.956265	-0.876584	0.0337793
161801	0.573417	0.582149	0.000617105	0.856765	0.869812	90.2863	-5.15184	-5.16468	93.2423	-4.29507	-4.29487	0.0616295	-0.710749	-0.876315	0.0338334
162001	0.568347	0.582175	0.000615719	0.84919	0.869851	90.0835	-5.14401	-5.16472	93.0309	-4.29482	-4.29487	0.061434	-0.759436	-0.876279	0.0337385
162201	0.60269	0.5822	0.000615105	0.900504	0.869889	89.9937	-5.1956	-5.16476	92.9328	-4.2951	-4.29487	0.0612388	-1.04974	-0.876526	0.0337103
162401	0.567891	0.582142	0.00061482	0.848509	0.869801	89.952	-5.14356	-5.16467	92.8785	-4.29505	-4.29487	0.0610581	-0.953763	-0.87648	0.0336263
162601	0.53719	0.582132	0.000613929	0.802638	0.869787	89.8217	-5.09749	-5.16466	92.7387	-4.29485	-4.29487	0.0608654	-0.565659	-0.876765	0.0336181
162801	0.575422	0.582068	0.000614721	0.859762	0.869691	89.9375	-5.15435	-5.16456	92.8467	-4.29459	-4.29487	0.060679	-0.891585	-0.876379	0.0336354
163001	0.575808	0.582021	0.000613629	0.860338	0.869621	89.7777	-5.15456	-5.16449	92.6819	-4.29422	-4.29487	0.0605322	-0.971354	-0.876418	0.0335335
163201	0.532726	0.581959	0.000613737	0.795967	0.869528	89.7936	-5.08982	-5.1644	92.6997	-4.29385	-4.29487	0.0604816	-0.763278	-0.876521	0.0334512
163401	0.573244	0.581876	0.000615583	0.856508	0.869404	90.0636	-5.15018	-5.16427	92.9786	-4.29367	-4.29486	0.0605521	-1.00142	-0.876547	0.0333949
163601	0.54843	0.581841	0.000614633	0.819431	0.869353	89.9246	-5.11286	-5.16421	92.8402	-4.29343	-4.29486	0.0607218	-0.961168	-0.87701	0.0333666
163801	0.572803	0.581781	0.000613913	0.855847	0.869263	89.8193	-5.14948	-5.16412	92.7423	-4.29363	-4.29485	0.0609179	-1.16406	-0.877731	0.0334334
164001	0.578362	0.581695	0.000614763	0.864154	0.869134	89.9436	-5.15789	-5.16399	92.8777	-4.29373	-4.29485	0.0610143	-1.12149	-0.878168	0.0334074
164201	0.568376	0.581689	0.000613004	0.849234	0.869125	89.6863	-5.14364	-5.16397	92.6122	-4.29441	-4.29485	0.0609603	-0.985405	-0.878791	0.0334346
164401	0.588905	0.581673	0.000611273	0.879907	0.869102	89.4331	-5.17449	-5.16395	92.3508	-4.29459	-4.29485	0.0607873	-1.00086	-0.879149	0.0333732
164601	0.543317	0.581601	0.000613857	0.811792	0.868994	89.8111	-5.10604	-5.16384	92.7285	-4.29424	-4.29485	0.0606494	-0.745833	-0.878854	0.0333794
164801	0.548933	0.581575	0.000612942	0.820183	0.868954	89.6773	-5.11431	-5.1638	92.5892	-4.29412	-4.29484	0.0605503	-0.867349	-0.879251	0.0333673
165001	0.560261	0.58152	0.000613103	0.837109	0.868872	89.7007	-5.13112	-5.16371	92.6116	-4.29401	-4.29484	0.0604778	-1.02049	-0.879586	0.0333537
165201	0.619263	0.581525	0.000612518	0.925266	0.868881	89.6152	-5.21911	-5.16372	92.5157	-4.29384	-4.29484	0.0604672	-1.31271	-0.880233	0.0334189
165401	0.577513	0.58154	0.000611335	0.862886	0.868902	89.4421	-5.15695	-5.16374	92.331	-4.29407	-4.29484	0.0604477	-1.08185	-0.881045	0.0335496
165601	0.572142	0.581534	0.000609686	0.854861	0.868893	89.2009	-5.14942	-5.16373	92.081	-4.29456	-4.29483	0.0603219	-1.00462	-0.881595	0.0335539
165801	0.592047	0.581539	0.000608576	0.884602	0.868902	89.0385	-5.17986	-5.16374	91.9099	-4.29526	-4.29484	0.0601497	-0.928759	-0.881921	0.0335103
166001	0.609534	0.581587	0.000607522	0.910729	0.868972	88.8843	-5.20628	-5.16381	91.7524	-4.29555	-4.29484	0.0600329	-0.797924	-0.881739	0.0334306
166201	0.61968	0.581703	0.000610256	0.925889	0.869147	89.2842	-5.22215	-5.16399	92.1677	-4.29626	-4.29484	0.0600797	-0.705387	-0.881465	0.0333693
166401	0.612997	0.581868	0.000617602	0.915903	0.869392	90.3591	-5.21233	-5.16424	93.2855	-4.29642	-4.29484	0.0603998	-0.627367	-0.881119	0.0333155
166601	0.617371	0.581972	0.000619814	0.922438	0.869548	90.6826	-5.21822	-5.1644	93.6273	-4.29578	-4.29485	0.0605582	-0.875645	-0.880663	0.033304
166801	0.586252	0.582038	0.000621303	0.875943	0.869647	90.9005	-5.17109	-5.1645	93.8465	-4.29514	-4.29485	0.0604515	-0.962588	-0.880856	0.0332387
167001	0.553306	0.581997	0.000621512	0.826717	0.869585	90.9312	-5.12156	-5.16444	93.8682	-4.29484	-4.29485	0.0602751	-0.980161	-0.881057	0.0331666
167201	0.56285	0.581964	0.000620587	0.840977	0.869537	90.7957	-5.13528	-5.16439	93.7267	-4.2943	-4.29485	0.0601178	-1.05163	-0.881716	0.0332283
167401	0.546903	0.581878	0.000621532	0.817151	0.869408	90.9339	-5.11134	-5.16426	93.8674	-4.29418	-4.29485	0.0600232	-0.891103	-0.881866	0.0331525
167601	0.554418	0.581835	0.000621257	0.828378	0.869343	90.8938	-5.12314	-5.16419	93.8216	-4.29476	-4.29485	0.0598872	-0.799703	-0.882138	0.0331268
167801	0.534028	0.581755	0.000621739	0.797913	0.869224	90.9643	-5.09326	-5.16407	93.8791	-4.29534	-4.29485	0.0597264	-0.651717	-0.881781	0.033081
168001	0.582973	0.581687	0.000623172	0.871043	0.869122	91.174	-5.16639	-5.16397	94.0727	-4.29534	-4.29485	0.0596162	-0.972061	-0.88157	0.0330523
168201	0.565377	0.581708	0.000622017	0.844753	0.869153	91.005	-5.13986	-5.164	93.8967	-4.2951	-4.29485	0.0594608	-0.71326	-0.881805	0.0330168
168401	0.595225	0.581727	0.000620553	0.889349	0.869182	90.7907	-5.18462	-5.16403	93.6754	-4.29528	-4.29485	0.0593066	-0.796631	-0.881557	0.0329464
168601	0.600278	0.581767	0.000619931	0.8969	0.869241	90.6998	-5.19267	-5.16409	93.5816	-4.29577	-4.29485	0.059221	-0.784589	-0.881162	0.0329243
168801	0.623883	0.581798	0.000619437	0.932169	0.869288	90.6276	-5.22818	-5.16414	93.5081	-4.29601	-4.29486	0.0592827	-0.936097	-0.880676	0.0329483
169001	0.583551	0.58186	0.000620243	0.871907	0.869381	90.7454	-5.16773	-5.16424	93.6313	-4.29582	-4.29486	0.0593197	-0.652826	-0.880468	0.0329251
169201	0.595375	0.581914	0.000619673	0.889575	0.869461	90.662	-5.18522	-5.16432	93.55	-4.29565	-4.29486	0.0593225	-0.893686	-0.880355	0.0328509
169401	0.606607	0.581908	0.000619038	0.906357	0.869452	90.5692	-5.20184	-5.16432	93.4487	-4.29548	-4.29486	0.059228	-1.10072	-0.880318	0.0327885
169601	0.567867	0.581961	0.000618838	0.848473	0.869532	90.5398	-5.14412	-5.1644	93.4181	-4.29565	-4.29487	0.0591503	-0.666318	-0.88059	0.0327816
169801	0.63824	0.582017	0.00062054	0.95362	0.869615	90.7888	-5.24913	-5.16448	93.6663	-4.29551	-4.29487	0.0590838	-1.02791	-0.880527	0.032753
170001	0.554824	0.582004	0.000619908	0.828985	0.869596	90.6965	-5.12405	-5.16447	93.5657	-4.29507	-4.29487	0.0589527	-0.696348	-0.880076	0.0327585
170201	0.560215	0.581898	0.000622508	0.837039	0.869437	91.0769	-5.13139	-5.16431	93.9424	-4.29435	-4.29487	0.0588007	-0.882318	-0.879566	0.0327668
170401	0.581037	0.581853	0.00062157	0.868151	0.869371	90.9395	-5.16194	-5.16424	93.8037	-4.29379	-4.29487	0.0587586	-0.997513	-0.879849	0.0327035
170601	0.534555	0.581769	0.000622782	0.7987	0.869244	91.1169	-5.09201	-5.16411	93.9965	-4.29331	-4.29486	0.0589392	-0.901921	-0.879763	0.0326298
170801	0.55454	0.581675	0.000624655	0.82856	0.869104	91.3909	-5.12176	-5.16396	94.2934	-4.2932	-4.29486	0.0592879	-1.15542	-0.880478	0.0327614
171001	0.543107	0.581596	0.000625298	0.811478	0.868985	91.485	-5.10456	-5.16384	94.4058	-4.29308	-4.29485	0.0596439	-1.06496	-0.88102	0.0327805
171201	0.563309	0.581538	0.000625631	0.841663	0.8689	91.5337	-5.13478	-5.16375	94.4671	-4.29312	-4.29485	0.0600741	-1.16999	-0.88185	0.0329627
171401	0.537477	0.581445	0.000627676	0.803066	0.868761	91.833	-5.09634	-5.1636	94.7882	-4.29328	-4.29484	0.0603904	-0.945221	-0.882266	0.0329545
171601	0.547565	0.581336	0.000630311	0.818139	0.868598	92.2185	-5.1118	-5.16344	95.1958	-4.29366	-4.29484	0.0605866	-0.980292	-0.882361	0.0328683
171801	0.595326	0.581333	0.000629754	0.889501	0.868594	92.1369	-5.18355	-5.16343	95.1078	-4.29405	-4.29484	0.0605919	-1.19016	-0.883071	0.0329787
172001	0.571316	0.581295	0.000629268	0.853626	0.868537	92.0658	-5.14777	-5.16337	95.0337	-4.29414	-4.29483	0.0605171	-0.825314	-0.883207	0.0329657
172201	0.574683	0.581281	0.000628043	0.858657	0.868515	91.8866	-5.15299	-5.16335	94.8479	-4.29433	-4.29483	0.0604194	-0.934288	-0.883279	0.0328833
172401	0.586648	0.581246	0.000626969	0.876534	0.868464	91.7294	-5.17101	-5.1633	94.6852	-4.29448	-4.29483	0.0602777	-1.07893	-0.883431	0.0328158
