time-step	lambda
0	-0.999985
1	-0.999941
2	-0.999867
3	-0.999764
4	-0.999631
5	-0.999469
6	-0.999277
7	-0.999055
8	-0.998805
9	-0.998524
10	-0.998215
11	-0.997876
12	-0.997507
13	-0.997109
14	-0.996682
15	-0.996225
16	-0.995739
17	-0.995224
18	-0.99468
19	-0.994106
20	-0.993504
21	-0.992872
22	-0.992211
23	-0.991521
24	-0.990802
25	-0.990055
26	-0.989278
27	-0.988473
28	-0.987638
29	-0.986775
30	-0.985884
31	-0.984964
32	-0.984016
33	-0.983039
34	-0.982034
35	-0.981
36	-0.979939
37	-0.978849
38	-0.977732
39	-0.976587
40	-0.975414
41	-0.974213
42	-0.972985
43	-0.97173
44	-0.970447
45	-0.969137
46	-0.967801
47	-0.966437
48	-0.965047
49	-0.963631
50	-0.962188
51	-0.960719
52	-0.959224
53	-0.957703
54	-0.956156
55	-0.954585
56	-0.952988
57	-0.951366
58	-0.949719
59	-0.948048
60	-0.946353
61	-0.944633
62	-0.94289
63	-0.941124
64	-0.939334
65	-0.937521
66	-0.935686
67	-0.933829
68	-0.931949
69	-0.930048
70	-0.928126
71	-0.926182
72	-0.924218
73	-0.922234
74	-0.92023
75	-0.918207
76	-0.916164
77	-0.914103
78	-0.912024
79	-0.909927
80	-0.907813
81	-0.905682
82	-0.903535
83	-0.901372
84	-0.899193
85	-0.897
86	-0.894792
87	-0.892571
88	-0.890337
89	-0.888089
90	-0.88583
91	-0.883559
92	-0.881277
93	-0.878985
94	-0.876684
95	-0.874373
96	-0.872053
97	-0.869726
98	-0.867391
99	-0.86505
100	-0.862703
101	-0.860351
102	-0.857994
103	-0.855633
104	-0.853268
105	-0.850901
106	-0.848532
107	-0.846162
108	-0.843791
109	-0.841419
110	-0.839049
111	-0.836679
112	-0.834312
113	-0.831946
114	-0.829584
115	-0.827226
116	-0.824872
117	-0.822523
118	-0.820179
119	-0.817842
120	-0.815511
121	-0.813187
122	-0.810871
123	-0.808563
124	-0.806264
125	-0.803974
126	-0.801694
127	-0.799423
128	-0.797163
129	-0.794914
130	-0.792677
131	-0.790451
132	-0.788236
133	-0.786035
134	-0.783845
135	-0.781669
136	-0.779506
137	-0.777356
138	-0.77522
139	-0.773098
140	-0.770989
141	-0.768895
142	-0.766815
143	-0.76475
144	-0.762699
145	-0.760663
146	-0.758642
147	-0.756635
148	-0.754644
149	-0.752667
150	-0.750705
151	-0.748759
152	-0.746827
153	-0.74491
154	-0.743008
155	-0.74112
156	-0.739248
157	-0.73739
158	-0.735547
159	-0.733718
160	-0.731904
161	-0.730104
162	-0.728318
163	-0.726547
164	-0.724789
165	-0.723045
166	-0.721315
167	-0.719599
168	-0.717896
169	-0.716206
170	-0.71453
171	-0.712866
172	-0.711215
173	-0.709577
174	-0.707952
175	-0.706338
176	-0.704737
177	-0.703148
178	-0.701571
179	-0.700006
180	-0.698452
181	-0.696909
182	-0.695378
183	-0.693857
184	-0.692348
185	-0.690849
186	-0.689361
187	-0.687883
188	-0.686416
189	-0.684959
190	-0.683511
191	-0.682074
192	-0.680646
193	-0.679228
194	-0.677819
195	-0.67642
196	-0.675029
197	-0.673648
198	-0.672276
199	-0.670912
200	-0.669557
201	-0.668211
202	-0.666873
203	-0.665543
204	-0.664222
205	-0.662909
206	-0.661604
