timestep            	T              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
100001	0.403849	0.403849	0	0.603407	0.603407	0	-5.57773	-5.57773	0	-4.97433	-4.97433	0	-0.987216	-0.987216	0
100201	0.418906	0.406908	8.20908e-05	0.625905	0.607978	12.0104	-5.59947	-5.58193	11.6776	-4.97357	-4.97395	0.00314023	-1.2571	-1.12525	0.0100523
100401	0.412786	0.411327	0.000118041	0.616761	0.61458	17.2701	-5.59013	-5.58826	16.8454	-4.97337	-4.97368	0.00642783	-1.30222	-1.21102	0.0152897
100601	0.421395	0.412832	9.39176e-05	0.629624	0.61683	13.7407	-5.60325	-5.59044	13.4434	-4.97363	-4.97361	0.00503458	-1.27628	-1.23242	0.0111894
100801	0.408981	0.412501	9.23443e-05	0.611075	0.616335	13.5106	-5.58529	-5.59002	13.3159	-4.97422	-4.97369	0.00549321	-1.11766	-1.22257	0.00907931
101001	0.391633	0.411387	9.08087e-05	0.585155	0.614671	13.2859	-5.55974	-5.58851	12.983	-4.97459	-4.97384	0.0103856	-0.949682	-1.18768	0.0126176
101201	0.395104	0.412789	0.000120448	0.59034	0.616765	17.6224	-5.56478	-5.59072	17.5379	-4.97444	-4.97396	0.0134543	-0.775451	-1.1602	0.0155157
101401	0.426763	0.415721	0.000213966	0.637644	0.621145	31.3045	-5.61182	-5.59515	31.3575	-4.97418	-4.97401	0.0124959	-0.935763	-1.1312	0.0200001
101601	0.456346	0.418824	0.000277345	0.681845	0.625782	40.5773	-5.65639	-5.59983	40.8185	-4.97455	-4.97404	0.0117002	-0.960116	-1.10824	0.0213063
101801	0.42857	0.421433	0.000316846	0.640344	0.62968	46.3566	-5.61508	-5.6038	46.8805	-4.97474	-4.97412	0.0136742	-0.887532	-1.08188	0.0249422
102001	0.405866	0.423055	0.000333581	0.60642	0.632103	48.805	-5.58035	-5.60625	49.401	-4.97393	-4.97415	0.0131091	-0.95404	-1.07962	0.023192
102201	0.428035	0.422859	0.000309079	0.639544	0.631811	45.2202	-5.61271	-5.60591	45.7649	-4.97317	-4.9741	0.0141413	-1.2822	-1.08389	0.0221078
102401	0.427715	0.422864	0.000290412	0.639066	0.631819	42.489	-5.61212	-5.60582	42.9953	-4.97305	-4.97401	0.0186921	-1.36077	-1.10443	0.0252999
102601	0.425476	0.422863	0.000270332	0.635722	0.631817	39.5512	-5.6093	-5.60576	40.0257	-4.97357	-4.97395	0.0200661	-1.27175	-1.1193	0.026076
102801	0.416363	0.423195	0.000256841	0.622104	0.632313	37.5774	-5.59639	-5.60626	38.0067	-4.97428	-4.97395	0.0188332	-1.15536	-1.12906	0.0256413
103001	0.443024	0.423644	0.000250455	0.66194	0.632984	36.6431	-5.63666	-5.60697	37.1055	-4.97472	-4.97398	0.0189314	-1.15452	-1.13199	0.0241225
103201	0.434158	0.424587	0.000255584	0.648694	0.634392	37.3935	-5.62399	-5.60844	38.0238	-4.97529	-4.97405	0.022029	-0.921858	-1.12583	0.0233721
103401	0.437992	0.42496	0.000253405	0.654421	0.63495	37.0748	-5.62997	-5.60908	37.7763	-4.97555	-4.97413	0.0275683	-0.844078	-1.10939	0.0264667
103601	0.453408	0.425202	0.000243638	0.677456	0.635312	35.6457	-5.65313	-5.60953	36.385	-4.97568	-4.97422	0.03435	-0.938677	-1.09257	0.0298868
103801	0.451433	0.426744	0.000282978	0.674504	0.637615	41.4014	-5.64978	-5.6119	42.4621	-4.97528	-4.97428	0.0376946	-1.07693	-1.08729	0.029368
104001	0.426588	0.427651	0.000291221	0.637383	0.638971	42.6074	-5.61245	-5.6133	43.7686	-4.97506	-4.97433	0.0383514	-1.00413	-1.08692	0.0280964
104201	0.434567	0.427691	0.000280822	0.649305	0.63903	41.086	-5.62408	-5.61338	42.1936	-4.97477	-4.97435	0.0375302	-1.16639	-1.08856	0.0270623
104401	0.451429	0.427929	0.000279251	0.674499	0.639386	40.8562	-5.64926	-5.61376	41.9311	-4.97476	-4.97437	0.0361971	-1.1773	-1.08998	0.0260847
