time-step	lambda
0	-0.999993
1	-0.99997
2	-0.999934
3	-0.999882
4	-0.999815
5	-0.999734
6	-0.999638
7	-0.999528
8	-0.999402
9	-0.999262
10	-0.999107
11	-0.998937
12	-0.998753
13	-0.998554
14	-0.99834
15	-0.998111
16	-0.997868
17	-0.99761
18	-0.997337
19	-0.99705
20	-0.996748
21	-0.996431
22	-0.9961
23	-0.995754
24	-0.995394
25	-0.995018
26	-0.994628
27	-0.994224
28	-0.993805
29	-0.993372
30	-0.992923
31	-0.992461
32	-0.991984
33	-0.991492
34	-0.990986
35	-0.990466
36	-0.989931
37	-0.989381
38	-0.988818
39	-0.98824
40	-0.987647
41	-0.987041
42	-0.98642
43	-0.985785
44	-0.985135
45	-0.984472
46	-0.983794
47	-0.983103
48	-0.982397
49	-0.981677
50	-0.980943
51	-0.980196
52	-0.979434
53	-0.978658
54	-0.977869
55	-0.977066
56	-0.97625
57	-0.975419
58	-0.974576
59	-0.973718
60	-0.972847
61	-0.971963
62	-0.971066
63	-0.970155
64	-0.969231
65	-0.968294
66	-0.967343
67	-0.96638
68	-0.965404
69	-0.964415
70	-0.963414
71	-0.9624
72	-0.961373
73	-0.960334
74	-0.959282
75	-0.958219
76	-0.957143
77	-0.956055
78	-0.954955
79	-0.953844
80	-0.952721
81	-0.951586
82	-0.950439
83	-0.949282
84	-0.948113
85	-0.946934
86	-0.945743
87	-0.944542
88	-0.94333
89	-0.942107
90	-0.940874
91	-0.939632
92	-0.938379
93	-0.937116
94	-0.935844
95	-0.934562
96	-0.933271
97	-0.931971
98	-0.930662
99	-0.929344
100	-0.928018
101	-0.926683
102	-0.925341
103	-0.92399
104	-0.922632
105	-0.921266
106	-0.919893
107	-0.918512
108	-0.917125
109	-0.915732
110	-0.914332
111	-0.912925
112	-0.911513
113	-0.910096
114	-0.908672
115	-0.907244
116	-0.905811
117	-0.904373
118	-0.90293
119	-0.901483
120	-0.900033
121	-0.898578
122	-0.897121
123	-0.89566
124	-0.894196
125	-0.89273
126	-0.891261
127	-0.88979
128	-0.888317
129	-0.886843
130	-0.885367
131	-0.88389
132	-0.882412
133	-0.880934
134	-0.879456
135	-0.877977
136	-0.876499
137	-0.875021
138	-0.873544
139	-0.872067
140	-0.870592
141	-0.869119
142	-0.867647
143	-0.866176
144	-0.864709
145	-0.863243
146	-0.86178
147	-0.86032
148	-0.858863
149	-0.857409
150	-0.855958
151	-0.854511
152	-0.853068
153	-0.851629
154	-0.850195
155	-0.848764
156	-0.847339
157	-0.845918
158	-0.844502
159	-0.843091
160	-0.841685
161	-0.840285
162	-0.83889
163	-0.837501
164	-0.836117
165	-0.83474
166	-0.833369
167	-0.832004
168	-0.830645
169	-0.829292
170	-0.827946
171	-0.826607
172	-0.825274
173	-0.823948
174	-0.822629
175	-0.821317
176	-0.820012
177	-0.818714
178	-0.817422
179	-0.816138
180	-0.814862
181	-0.813592
182	-0.81233
183	-0.811074
184	-0.809827
185	-0.808586
186	-0.807353
187	-0.806127
188	-0.804909
189	-0.803697
190	-0.802494
191	-0.801297
192	-0.800108
193	-0.798926
194	-0.797751
195	-0.796584
196	-0.795424
197	-0.794271
198	-0.793125
199	-0.791987
200	-0.790855
201	-0.78973
202	-0.788613
203	-0.787502
204	-0.786398
205	-0.785301
206	-0.784211
207	-0.783128
208	-0.782051
209	-0.780981
210	-0.779917
211	-0.77886
212	-0.777809
213	-0.776764
214	-0.775726
215	-0.774694
216	-0.773668
217	-0.772648
218	-0.771634
219	-0.770626
220	-0.769623
221	-0.768626
222	-0.767635
223	-0.76665
224	-0.76567
225	-0.764695
226	-0.763726
227	-0.762762
228	-0.761803
229	-0.760849
230	-0.7599
231	-0.758956
232	-0.758017
233	-0.757083
234	-0.756153
235	-0.755228
236	-0.754308
237	-0.753392
238	-0.75248
239	-0.751573
240	-0.75067
241	-0.749771
242	-0.748876
243	-0.747985
244	-0.747098
245	-0.746215
246	-0.745336
247	-0.74446
248	-0.743589
249	-0.742721
250	-0.741856
251	-0.740995
252	-0.740137
253	-0.739283
254	-0.738432
255	-0.737584
256	-0.736739
257	-0.735898
258	-0.735059
259	-0.734224
260	-0.733391
261	-0.732562
262	-0.731735
263	-0.730911
264	-0.73009
265	-0.729272
266	-0.728457
267	-0.727644
268	-0.726833
269	-0.726025
270	-0.72522
271	-0.724417
272	-0.723617
273	-0.722819
274	-0.722024
275	-0.721231
276	-0.72044
277	-0.719651
278	-0.718865
279	-0.718081
280	-0.717299
281	-0.716519
282	-0.715742
283	-0.714966
284	-0.714193
285	-0.713422
286	-0.712653
287	-0.711885
288	-0.71112
289	-0.710357
290	-0.709596
291	-0.708837
292	-0.70808
293	-0.707325
294	-0.706572
295	-0.70582
296	-0.705071
297	-0.704323
298	-0.703578
299	-0.702834
300	-0.702092
301	-0.701352
302	-0.700614
303	-0.699878
304	-0.699143
305	-0.698411
306	-0.69768
307	-0.696951
308	-0.696224
309	-0.695498
310	-0.694775
311	-0.694053
312	-0.693333
313	-0.692615
314	-0.691899
315	-0.691185
316	-0.690472
317	-0.689761
318	-0.689052
319	-0.688345
320	-0.687639
321	-0.686936
322	-0.686234
323	-0.685534
324	-0.684835
325	-0.684139
326	-0.683444
327	-0.682751
328	-0.68206
329	-0.68137
330	-0.680683
331	-0.679997
332	-0.679313
333	-0.67863
334	-0.677949
335	-0.677271
336	-0.676593
337	-0.675918
338	-0.675244
339	-0.674572
340	-0.673902
341	-0.673233
342	-0.672567
343	-0.671902
344	-0.671238
345	-0.670576
346	-0.669916
347	-0.669258
348	-0.668601
349	-0.667946
350	-0.667292
351	-0.66664
352	-0.66599
353	-0.665342
354	-0.664694
355	-0.664049
356	-0.663405
357	-0.662763
358	-0.662122
359	-0.661483
360	-0.660845
361	-0.660209
362	-0.659574
363	-0.658941
364	-0.658309
365	-0.657679
366	-0.65705
367	-0.656422
368	-0.655796
369	-0.655172
370	-0.654549
371	-0.653927
372	-0.653307
373	-0.652688
374	-0.65207
375	-0.651454
376	-0.650839
377	-0.650225
378	-0.649613
379	-0.649002
380	-0.648393
381	-0.647785
382	-0.647178
383	-0.646572
384	-0.645968
385	-0.645365
386	-0.644763
387	-0.644162
388	-0.643563
389	-0.642965
390	-0.642369
391	-0.641773
392	-0.641179
393	-0.640586
394	-0.639995
395	-0.639405
396	-0.638816
397	-0.638228
398	-0.637641
399	-0.637056
400	-0.636472
401	-0.635889
402	-0.635308
403	-0.634728
404	-0.634149
405	-0.633571
406	-0.632995
407	-0.63242
408	-0.631846
409	-0.631274
410	-0.630703
411	-0.630133
412	-0.629564
413	-0.628997
414	-0.628431
415	-0.627866
416	-0.627302
417	-0.62674
418	-0.626179
419	-0.62562
420	-0.625062
421	-0.624505
422	-0.623949
423	-0.623394
424	-0.622841
425	-0.62229
426	-0.621739
427	-0.62119
428	-0.620642
429	-0.620095
430	-0.61955
431	-0.619006
432	-0.618463
433	-0.617921
434	-0.617381
435	-0.616842
436	-0.616304
437	-0.615768
438	-0.615232
439	-0.614698
440	-0.614166
441	-0.613634
442	-0.613103
443	-0.612574
444	-0.612046
445	-0.611519
446	-0.610994
447	-0.610469
448	-0.609946
449	-0.609424
450	-0.608903
451	-0.608383
452	-0.607864
453	-0.607347
454	-0.60683
455	-0.606315
456	-0.6058
457	-0.605287
458	-0.604775
459	-0.604263
460	-0.603753
461	-0.603244
462	-0.602736
463	-0.602229
464	-0.601722
465	-0.601217
466	-0.600713
467	-0.60021
468	-0.599707
469	-0.599206
470	-0.598705
471	-0.598206
472	-0.597707
473	-0.597209
474	-0.596712
475	-0.596216
476	-0.59572
477	-0.595226
478	-0.594732
479	-0.594239
480	-0.593747
481	-0.593255
482	-0.592764
483	-0.592274
484	-0.591785
485	-0.591297
486	-0.590809
487	-0.590322
488	-0.589835
489	-0.589349
490	-0.588864
491	-0.588379
492	-0.587895
493	-0.587412
