time-step	lambda
0	-0.999951
1	-0.999803
2	-0.999557
3	-0.999213
4	-0.99877
5	-0.998229
6	-0.99759
7	-0.996854
8	-0.996019
9	-0.995087
10	-0.994057
11	-0.99293
12	-0.991706
13	-0.990385
14	-0.988967
15	-0.987454
16	-0.985844
17	-0.984139
18	-0.982338
19	-0.980443
20	-0.978454
21	-0.97637
22	-0.974193
23	-0.971923
24	-0.96956
25	-0.967106
26	-0.96456
27	-0.961924
28	-0.959198
29	-0.956382
30	-0.953478
31	-0.950486
32	-0.947407
33	-0.944243
34	-0.940993
35	-0.937659
36	-0.934242
37	-0.930742
38	-0.927162
39	-0.923503
40	-0.919764
41	-0.915949
42	-0.912058
43	-0.908092
44	-0.904054
45	-0.899945
46	-0.895766
47	-0.891519
48	-0.887207
49	-0.88283
50	-0.878391
51	-0.873893
52	-0.869337
53	-0.864726
54	-0.860061
55	-0.855346
56	-0.850584
57	-0.845776
58	-0.840925
59	-0.836035
60	-0.831108
61	-0.826148
62	-0.821157
63	-0.816138
64	-0.811096
65	-0.806032
66	-0.800952
67	-0.795857
68	-0.790751
69	-0.785638
70	-0.780521
71	-0.775403
72	-0.770288
73	-0.765179
74	-0.76008
75	-0.754993
76	-0.749921
77	-0.744868
78	-0.739836
79	-0.734827
80	-0.729846
81	-0.724893
82	-0.719971
83	-0.715082
84	-0.710229
85	-0.705412
86	-0.700634
87	-0.695896
88	-0.691199
89	-0.686544
90	-0.681932
91	-0.677364
92	-0.67284
93	-0.668361
94	-0.663928
95	-0.65954
96	-0.655197
97	-0.6509
98	-0.646648
99	-0.64244
100	-0.638277
101	-0.634158
102	-0.630082
103	-0.626048
104	-0.622057
105	-0.618106
106	-0.614196
107	-0.610325
108	-0.606492
109	-0.602696
110	-0.598936
111	-0.595212
112	-0.591522
113	-0.587865
114	-0.58424
115	-0.580645
116	-0.577081
117	-0.573546
118	-0.570038
119	-0.566558
120	-0.563103
121	-0.559673
122	-0.556267
123	-0.552884
124	-0.549524
125	-0.546186
126	-0.542868
127	-0.53957
128	-0.536292
129	-0.533032
130	-0.529791
131	-0.526567
132	-0.523361
133	-0.520171
134	-0.516998
135	-0.513841
136	-0.5107
137	-0.507574
138	-0.504463
139	-0.501367
140	-0.498286
141	-0.49522
142	-0.492168
143	-0.489131
144	-0.486107
145	-0.483099
146	-0.480104
147	-0.477124
148	-0.474158
149	-0.471206
150	-0.468269
151	-0.465345
152	-0.462436
153	-0.459542
154	-0.456661
155	-0.453795
156	-0.450943
157	-0.448105
158	-0.445281
159	-0.442472
160	-0.439677
161	-0.436895
162	-0.434128
163	-0.431375
164	-0.428636
165	-0.42591
166	-0.423198
167	-0.4205
168	-0.417815
169	-0.415143
170	-0.412484
171	-0.409838
172	-0.407205
173	-0.404584
174	-0.401976
175	-0.39938
176	-0.396796
177	-0.394223
178	-0.391663
179	-0.389113
180	-0.386576
181	-0.384049
182	-0.381533
183	-0.379029
184	-0.376535
185	-0.374052
186	-0.371579
187	-0.369118
188	-0.366667
189	-0.364226
190	-0.361797
191	-0.359378
192	-0.356971
193	-0.354574
194	-0.352189
195	-0.349815
196	-0.347452
197	-0.345101
198	-0.342763
199	-0.340436
200	-0.338122
201	-0.335821
202	-0.333532
203	-0.331257
204	-0.328995
205	-0.326746
206	-0.324511
207	-0.322289
208	-0.320081
209	-0.317887
210	-0.315707
211	-0.31354
212	-0.311388
213	-0.309249
214	-0.307124
215	-0.305012
216	-0.302914
217	-0.30083
218	-0.29876
219	-0.296702
220	-0.294658
221	-0.292628
222	-0.29061
223	-0.288606
224	-0.286615
225	-0.284637
226	-0.282671
227	-0.280719
228	-0.27878
229	-0.276854
230	-0.27494
231	-0.27304
232	-0.271152
233	-0.269276
234	-0.267414
235	-0.265564
236	-0.263727
237	-0.261902
238	-0.26009
239	-0.25829
240	-0.256502
241	-0.254727
242	-0.252964
243	-0.251214
244	-0.249475
245	-0.247748
246	-0.246033
247	-0.244331
248	-0.242639
249	-0.24096
250	-0.239292
251	-0.237636
252	-0.235991
253	-0.234357
254	-0.232735
255	-0.231124
256	-0.229524
257	-0.227935
258	-0.226357
259	-0.22479
260	-0.223233
261	-0.221688
262	-0.220153
263	-0.218628
264	-0.217114
265	-0.215611
266	-0.214118
267	-0.212635
268	-0.211162
269	-0.2097
270	-0.208247
271	-0.206804
272	-0.205372
273	-0.203948
274	-0.202535
275	-0.201131
276	-0.199736
277	-0.19835
278	-0.196973
279	-0.195605
280	-0.194245
281	-0.192894
282	-0.191551
283	-0.190216
284	-0.188889
285	-0.187569
286	-0.186257
287	-0.184951
288	-0.183652
289	-0.18236
290	-0.181074
291	-0.179794
292	-0.17852
293	-0.177251
294	-0.175987
295	-0.174728
296	-0.173473
297	-0.172223
298	-0.170977
299	-0.169734
300	-0.168494
301	-0.167258
302	-0.166025
303	-0.164794
304	-0.163566
305	-0.162339
306	-0.161115
307	-0.159892
308	-0.15867
309	-0.157449
310	-0.15623
311	-0.155011
312	-0.153793
313	-0.152576
314	-0.151358
315	-0.150141
316	-0.148924
317	-0.147707
318	-0.146491
319	-0.145274
320	-0.144056
321	-0.142839
322	-0.141622
323	-0.140404
324	-0.139187
325	-0.137969
326	-0.136752
327	-0.135535
328	-0.134318
329	-0.133102
330	-0.131886
331	-0.130671
332	-0.129457
333	-0.128244
334	-0.127033
335	-0.125823
336	-0.124616
337	-0.12341
338	-0.122207
339	-0.121007
340	-0.119811
341	-0.118617
342	-0.117428
343	-0.116242
344	-0.115061
345	-0.113884
346	-0.112713
347	-0.111547
348	-0.110386
349	-0.109231
350	-0.108083
351	-0.10694
352	-0.105804
353	-0.104675
354	-0.103553
355	-0.102438
356	-0.10133
357	-0.100229
358	-0.0991356
359	-0.0980498
360	-0.0969716
361	-0.0959011
362	-0.0948384
363	-0.0937836
364	-0.0927367
365	-0.0916977
366	-0.0906668
367	-0.0896441
368	-0.0886295
369	-0.0876232
370	-0.0866253
371	-0.0856358
372	-0.0846547
373	-0.0836823
374	-0.0827185
375	-0.0817635
376	-0.0808174
377	-0.0798802
378	-0.0789522
379	-0.0780333
380	-0.0771239
381	-0.0762239
382	-0.0753336
383	-0.0744531
384	-0.0735825
385	-0.0727221
386	-0.071872
387	-0.0710324
388	-0.0702035
389	-0.0693854
390	-0.0685784
391	-0.0677827
392	-0.0669984
393	-0.0662257
394	-0.0654648
395	-0.0647158
396	-0.063979
397	-0.0632544
398	-0.0625422
399	-0.0618425
400	-0.0611555
401	-0.0604811
402	-0.0598196
403	-0.0591708
404	-0.0585349
405	-0.0579119
406	-0.0573017
407	-0.0567044
408	-0.0561198
409	-0.055548
410	-0.0549888
411	-0.0544422
412	-0.0539081
413	-0.0533862
414	-0.0528765
415	-0.0523789
416	-0.0518931
417	-0.051419
418	-0.0509564
419	-0.0505052
420	-0.0500651
421	-0.0496359
422	-0.0492174
423	-0.0488094
424	-0.0484117
425	-0.0480242
426	-0.0476464
427	-0.0472784
428	-0.0469197
429	-0.0465702
430	-0.0462297
431	-0.045898
432	-0.0455747
433	-0.0452598
434	-0.0449529
435	-0.0446539
436	-0.0443625
437	-0.0440785
438	-0.0438017
439	-0.0435319
440	-0.0432689
441	-0.0430125
442	-0.0427625
443	-0.0425188
444	-0.0422811
445	-0.0420493
446	-0.0418233
447	-0.0416029
448	-0.0413879
449	-0.0411783
450	-0.0409738
451	-0.0407744
452	-0.0405799
453	-0.0403903
454	-0.0402053
455	-0.040025
456	-0.0398491
457	-0.0396776
458	-0.0395104
459	-0.0393473
460	-0.0391883
461	-0.0390332
462	-0.0388819
463	-0.0387344
464	-0.0385905
465	-0.0384502
466	-0.0383133
467	-0.0381797
468	-0.0380494
469	-0.0379222
470	-0.037798
471	-0.0376768
472	-0.0375585
473	-0.0374429
474	-0.0373301
475	-0.0372199
476	-0.0371122
477	-0.0370071
478	-0.0369044
479	-0.036804
480	-0.036706
481	-0.0366102
482	-0.0365166
483	-0.0364251
484	-0.0363358
485	-0.0362486
