timestep            	T              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
100001	1.06596	1.06596	0	1.5927	1.5927	0	-6.56692	-6.56692	0	-4.97422	-4.97422	0	4.9689	4.9689	0
100201	1.11017	1.07727	0.000197323	1.65875	1.60959	28.8695	-6.63302	-6.58385	28.8869	-4.97426	-4.97426	5.13969e-05	4.66037	4.89137	0.00848634
100401	1.04415	1.06688	0.000417597	1.56011	1.59407	61.097	-6.53428	-6.5683	61.231	-4.97417	-4.97423	0.000139462	5.10585	4.97218	0.0208831
100601	1.0786	1.06557	0.000692927	1.61158	1.59211	101.38	-6.58578	-6.56632	101.516	-4.9742	-4.97422	0.000123937	4.97129	4.97438	0.0294844
100801	1.0251	1.06812	0.000607897	1.53164	1.59592	88.9391	-6.50573	-6.57011	89.0264	-4.97409	-4.9742	0.000223135	5.27559	4.96078	0.0268974
101001	1.00464	1.06633	0.000716883	1.50107	1.59325	104.884	-6.47521	-6.56746	104.991	-4.97414	-4.9742	0.000231802	5.41616	4.98095	0.0321935
101201	1.09719	1.06548	0.000729785	1.63935	1.59197	106.772	-6.61351	-6.56617	106.872	-4.97416	-4.97419	0.00025939	4.74559	4.98098	0.0347624
101401	1.1006	1.06595	0.000767206	1.64445	1.59268	112.247	-6.61876	-6.56688	112.307	-4.97431	-4.9742	0.000321864	4.72324	4.97739	0.0354162
101601	0.985442	1.0647	0.000919116	1.47239	1.59082	134.472	-6.44657	-6.56502	134.566	-4.97418	-4.97421	0.000304044	5.56779	4.98492	0.0434883
101801	1.08124	1.062	0.000956934	1.61552	1.58678	140.005	-6.58979	-6.56098	140.101	-4.97427	-4.97421	0.000279194	4.87483	5.00536	0.04586
102001	1.01127	1.06408	0.00105094	1.51098	1.58989	153.76	-6.4851	-6.56409	153.873	-4.97413	-4.9742	0.000273199	5.31361	4.987	0.0501329
102201	1.00546	1.06507	0.00107553	1.5023	1.59136	157.357	-6.47645	-6.56555	157.435	-4.97416	-4.9742	0.000289847	5.41279	4.97847	0.052015
102401	1.11163	1.06386	0.00106839	1.66094	1.58955	156.312	-6.63524	-6.56376	156.386	-4.9743	-4.97421	0.000332436	4.7217	4.99114	0.052304
102601	1.07864	1.06474	0.00119512	1.61165	1.59087	174.854	-6.58585	-6.56508	174.945	-4.9742	-4.97421	0.000313493	4.91096	4.98612	0.0586373
102801	1.05275	1.06468	0.00113101	1.57295	1.59078	165.474	-6.54709	-6.56499	165.559	-4.97414	-4.97421	0.000302178	5.08486	4.98832	0.0554042
103001	0.999527	1.06447	0.00109228	1.49343	1.59046	159.808	-6.46762	-6.56467	159.889	-4.97418	-4.9742	0.000297375	5.47434	4.9898	0.0536892
103201	1.05294	1.06471	0.00111253	1.57325	1.59083	162.77	-6.54729	-6.56503	162.85	-4.97404	-4.9742	0.000296578	5.09295	4.99017	0.0544759
103401	1.0873	1.06326	0.00120379	1.62458	1.58866	176.121	-6.5987	-6.56286	176.242	-4.97412	-4.9742	0.000326518	4.82878	4.9996	0.0587325
103601	1.07519	1.06561	0.0012802	1.60648	1.59217	187.301	-6.58079	-6.56637	187.451	-4.97432	-4.9742	0.000334734	4.86733	4.98363	0.0621752
103801	0.989968	1.06447	0.00127227	1.47915	1.59047	186.141	-6.4532	-6.56466	186.298	-4.97405	-4.9742	0.000369318	5.50344	4.99027	0.0614275
104001	1.07988	1.06526	0.00126173	1.61349	1.59165	184.6	-6.58775	-6.56584	184.748	-4.97426	-4.97419	0.000370378	4.89427	4.98309	0.0615881
104201	1.08391	1.06561	0.00128139	1.61951	1.59218	187.475	-6.59372	-6.56637	187.619	-4.97421	-4.9742	0.000360263	4.80927	4.97973	0.062429
104401	1.02845	1.06536	0.00124785	1.53664	1.59179	182.569	-6.51084	-6.56599	182.711	-4.9742	-4.9742	0.000359706	5.29361	4.98163	0.0607261
104601	1.03198	1.06518	0.00122099	1.54192	1.59153	178.638	-6.51615	-6.56573	178.782	-4.97423	-4.9742	0.000356644	5.22261	4.98336	0.0593102
104801	1.08238	1.06486	0.00118345	1.61723	1.59105	173.146	-6.59141	-6.56525	173.287	-4.97418	-4.9742	0.000349601	4.84683	4.98612	0.0575025
105001	1.0383	1.06536	0.00117658	1.55136	1.5918	172.141	-6.52568	-6.566	172.28	-4.97431	-4.9742	0.000345572	5.20367	4.98218	0.0571713
105201	1.0619	1.06573	0.00117155	1.58662	1.59236	171.405	-6.56085	-6.56656	171.543	-4.97423	-4.9742	0.000347082	4.99449	4.9806	0.0569676
105401	1.03117	1.06562	0.00116249	1.54071	1.59219	170.08	-6.51496	-6.5664	170.217	-4.97425	-4.9742	0.000348399	5.22634	4.98171	0.0565184
105601	1.03932	1.06539	0.00120317	1.55289	1.59184	176.031	-6.52723	-6.56605	176.154	-4.97434	-4.97421	0.000354698	5.20547	4.98385	0.0582634
105801	1.06143	1.06514	0.00119628	1.58593	1.59146	175.023	-6.56006	-6.56567	175.136	-4.97412	-4.97421	0.000374491	4.95622	4.98569	0.0581612
106001	1.03985	1.06559	0.00123979	1.55369	1.59214	181.389	-6.52792	-6.56635	181.509	-4.97423	-4.97421	0.000408649	5.14892	4.98133	0.0595189
106201	1.08055	1.06523	0.00125328	1.61449	1.59161	183.362	-6.58862	-6.56581	183.488	-4.97413	-4.97421	0.000404425	4.82206	4.98246	0.0599645
106401	1.0802	1.06532	0.00128228	1.61397	1.59173	187.606	-6.58831	-6.56594	187.717	-4.97434	-4.97421	0.000403298	4.92711	4.98215	0.061826
106601	1.10327	1.06519	0.00129387	1.64845	1.59155	189.302	-6.62262	-6.56576	189.395	-4.97418	-4.97421	0.000449031	4.73261	4.98355	0.0626082
106801	1.10005	1.06554	0.00126231	1.64364	1.59207	184.685	-6.61775	-6.56628	184.772	-4.97411	-4.97421	0.000442028	4.69079	4.98052	0.0611787
107001	1.02452	1.06577	0.00125047	1.53078	1.59241	182.952	-6.50488	-6.56661	183.029	-4.9741	-4.97421	0.000470758	5.24272	4.97749	0.0607751
107201	1.02014	1.06544	0.00122878	1.52423	1.59192	179.778	-6.49841	-6.56613	179.857	-4.97418	-4.97421	0.000462841	5.33403	4.98038	0.0598317
107401	1.09818	1.06492	0.00126528	1.64083	1.59114	185.119	-6.61501	-6.56535	185.204	-4.97418	-4.9742	0.000456605	4.74883	4.9834	0.0617435
107601	1.11776	1.06479	0.0012494	1.67009	1.59095	182.795	-6.64438	-6.56515	182.88	-4.97428	-4.9742	0.000446995	4.59447	4.98432	0.0609813
107801	1.03641	1.06511	0.00124006	1.54854	1.59142	181.429	-6.52256	-6.56562	181.515	-4.97402	-4.9742	0.000443976	5.10184	4.98087	0.0606621
108001	1.01526	1.06463	0.00124119	1.51694	1.5907	181.593	-6.49104	-6.5649	181.693	-4.9741	-4.9742	0.000471678	5.34072	4.98355	0.0603344
108201	1.04551	1.06499	0.00125919	1.56215	1.59124	184.227	-6.53624	-6.56544	184.331	-4.9741	-4.9742	0.000465664	5.17325	4.98136	0.0613586
108401	0.989949	1.06505	0.00124362	1.47912	1.59133	181.949	-6.45337	-6.56553	182.049	-4.97424	-4.9742	0.000459944	5.53689	4.98193	0.0606478
108601	1.07806	1.06443	0.00126871	1.61077	1.59041	185.62	-6.58505	-6.56461	185.71	-4.97427	-4.9742	0.00045902	4.96187	4.98706	0.0621378
108801	1.06305	1.06425	0.00125779	1.58835	1.59013	184.023	-6.56265	-6.56433	184.108	-4.9743	-4.9742	0.000459525	5.03508	4.98863	0.0617099
109001	1.0613	1.06444	0.0012371	1.58573	1.59043	180.995	-6.55991	-6.56463	181.082	-4.97418	-4.9742	0.000457944	5.01072	4.98712	0.0606792
