time-step	lambda
0	-0.999991
1	-0.999963
2	-0.999916
3	-0.99985
4	-0.999766
5	-0.999664
6	-0.999543
7	-0.999404
8	-0.999246
9	-0.999071
10	-0.998878
11	-0.998667
12	-0.998438
13	-0.998192
14	-0.99793
15	-0.99765
16	-0.997354
17	-0.997042
18	-0.996714
19	-0.99637
20	-0.996011
21	-0.995636
22	-0.995248
23	-0.994845
24	-0.994428
25	-0.993998
26	-0.993554
27	-0.993098
28	-0.99263
29	-0.992151
30	-0.991659
31	-0.991158
32	-0.990645
33	-0.990124
34	-0.989592
35	-0.989052
36	-0.988504
37	-0.987948
38	-0.987385
39	-0.986815
40	-0.986239
41	-0.985658
42	-0.985071
43	-0.98448
44	-0.983886
45	-0.983288
46	-0.982687
47	-0.982084
48	-0.98148
49	-0.980874
50	-0.980269
51	-0.979663
52	-0.979058
53	-0.978455
54	-0.977853
55	-0.977254
56	-0.976657
57	-0.976064
58	-0.975475
59	-0.974891
60	-0.974311
61	-0.973737
62	-0.973169
63	-0.972608
64	-0.972053
65	-0.971506
66	-0.970966
67	-0.970434
68	-0.969911
69	-0.969397
70	-0.968893
71	-0.968397
72	-0.967912
73	-0.967437
74	-0.966973
75	-0.966519
76	-0.966076
77	-0.965645
78	-0.965225
79	-0.964817
80	-0.96442
81	-0.964036
82	-0.963663
83	-0.963303
84	-0.962955
85	-0.962619
86	-0.962295
87	-0.961984
88	-0.961686
89	-0.961399
90	-0.961125
91	-0.960864
92	-0.960614
93	-0.960377
94	-0.960152
95	-0.959938
96	-0.959737
97	-0.959547
98	-0.959368
99	-0.959201
100	-0.959046
101	-0.958901
102	-0.958767
103	-0.958643
104	-0.95853
105	-0.958427
106	-0.958333
107	-0.95825
108	-0.958176
109	-0.958111
110	-0.958054
111	-0.958007
112	-0.957968
113	-0.957936
114	-0.957913
115	-0.957897
116	-0.957889
117	-0.957887
118	-0.957892
119	-0.957903
120	-0.957921
121	-0.957945
122	-0.957974
123	-0.958008
124	-0.958048
125	-0.958092
126	-0.958141
127	-0.958194
128	-0.958251
129	-0.958312
130	-0.958376
131	-0.958444
132	-0.958515
133	-0.958589
134	-0.958666
135	-0.958745
136	-0.958826
137	-0.958909
138	-0.958994
139	-0.959081
140	-0.959169
141	-0.959259
142	-0.95935
143	-0.959442
144	-0.959535
145	-0.959628
146	-0.959722
147	-0.959817
148	-0.959911
149	-0.960006
150	-0.960102
151	-0.960197
152	-0.960292
153	-0.960387
154	-0.960482
155	-0.960576
156	-0.960671
157	-0.960764
158	-0.960858
159	-0.96095
160	-0.961043
161	-0.961134
162	-0.961225
163	-0.961315
164	-0.961405
165	-0.961494
166	-0.961582
167	-0.961669
168	-0.961756
169	-0.961842
170	-0.961927
171	-0.962012
172	-0.962096
173	-0.962179
174	-0.962262
175	-0.962343
176	-0.962425
177	-0.962505
178	-0.962585
179	-0.962665
180	-0.962744
181	-0.962823
182	-0.962901
183	-0.962978
184	-0.963056
185	-0.963133
186	-0.963209
187	-0.963286
188	-0.963362
189	-0.963438
190	-0.963514
191	-0.963589
192	-0.963665
193	-0.96374
194	-0.963816
195	-0.963891
196	-0.963967
197	-0.964042
198	-0.964118
199	-0.964194
200	-0.96427
201	-0.964346
202	-0.964422
203	-0.964498
204	-0.964575
205	-0.964652
206	-0.964729
207	-0.964807
208	-0.964884
209	-0.964962
210	-0.965041
211	-0.965119
212	-0.965198
213	-0.965277
214	-0.965357
215	-0.965437
216	-0.965517
217	-0.965597
218	-0.965678
219	-0.965758
220	-0.965839
221	-0.965921
222	-0.966002
223	-0.966084
224	-0.966165
225	-0.966247
226	-0.966329
227	-0.966411
228	-0.966493
229	-0.966575
230	-0.966657
231	-0.966739
232	-0.966821
233	-0.966903
234	-0.966984
235	-0.967066
236	-0.967147
237	-0.967228
238	-0.967308
239	-0.967389
240	-0.967469
241	-0.967548
242	-0.967627
243	-0.967705
244	-0.967783
245	-0.967861
246	-0.967938
247	-0.968014
248	-0.968089
249	-0.968164
250	-0.968238
251	-0.968311
252	-0.968383
253	-0.968455
254	-0.968525
255	-0.968595
256	-0.968663
257	-0.968731
258	-0.968798
259	-0.968863
260	-0.968928
261	-0.968991
262	-0.969053
263	-0.969114
264	-0.969174
265	-0.969232
266	-0.96929
267	-0.969346
268	-0.969401
269	-0.969454
270	-0.969506
271	-0.969557
272	-0.969607
273	-0.969655
274	-0.969702
275	-0.969747
276	-0.969791
277	-0.969834
278	-0.969875
279	-0.969915
280	-0.969953
281	-0.96999
282	-0.970026
283	-0.97006
284	-0.970092
285	-0.970124
286	-0.970153
287	-0.970182
288	-0.970209
289	-0.970234
290	-0.970258
291	-0.970281
292	-0.970302
293	-0.970322
294	-0.970341
295	-0.970358
296	-0.970374
297	-0.970388
298	-0.970401
299	-0.970413
300	-0.970423
301	-0.970433
302	-0.970441
303	-0.970447
304	-0.970453
305	-0.970457
306	-0.97046
307	-0.970462
308	-0.970463
309	-0.970463
310	-0.970462
311	-0.970459
312	-0.970456
313	-0.970452
314	-0.970446
315	-0.97044
316	-0.970433
317	-0.970425
318	-0.970416
319	-0.970407
320	-0.970396
321	-0.970385
322	-0.970374
323	-0.970362
324	-0.970349
325	-0.970335
326	-0.970321
327	-0.970307
328	-0.970292
329	-0.970277
330	-0.970261
331	-0.970245
332	-0.970229
333	-0.970213
334	-0.970197
335	-0.97018
336	-0.970163
337	-0.970147
338	-0.97013
339	-0.970113
340	-0.970097
341	-0.97008
342	-0.970064
343	-0.970048
344	-0.970032
345	-0.970016
346	-0.970001
347	-0.969986
348	-0.969972
349	-0.969957
350	-0.969944
351	-0.969931
352	-0.969918
353	-0.969906
354	-0.969894
355	-0.969883
356	-0.969873
357	-0.969863
358	-0.969854
359	-0.969846
360	-0.969838
361	-0.969831
362	-0.969825
363	-0.96982
364	-0.969815
365	-0.969811
366	-0.969808
367	-0.969806
368	-0.969804
369	-0.969804
370	-0.969804
371	-0.969804
372	-0.969806
373	-0.969808
374	-0.969812
375	-0.969816
376	-0.96982
377	-0.969826
378	-0.969832
379	-0.969839
380	-0.969847
381	-0.969855
382	-0.969865
383	-0.969874
384	-0.969885
385	-0.969896
386	-0.969908
387	-0.96992
388	-0.969933
389	-0.969947
390	-0.969961
391	-0.969975
392	-0.96999
393	-0.970006
394	-0.970021
395	-0.970038
396	-0.970054
397	-0.970071
398	-0.970089
399	-0.970106
400	-0.970124
401	-0.970142
402	-0.97016
403	-0.970178
404	-0.970197
405	-0.970215
406	-0.970234
407	-0.970253
408	-0.970271
409	-0.97029
410	-0.970308
411	-0.970326
412	-0.970345
413	-0.970363
414	-0.97038
415	-0.970398
416	-0.970415
417	-0.970432
418	-0.970449
419	-0.970465
420	-0.970481
421	-0.970497
422	-0.970512
423	-0.970527
424	-0.970541
425	-0.970555
426	-0.970568
427	-0.97058
428	-0.970592
429	-0.970604
430	-0.970615
431	-0.970625
432	-0.970634
433	-0.970643
434	-0.970651
435	-0.970659
436	-0.970666
437	-0.970672
438	-0.970677
439	-0.970682
440	-0.970685
441	-0.970688
442	-0.970691
443	-0.970692
444	-0.970693
