time-step	lambda
0	-0.999953
1	-0.999813
2	-0.999579
3	-0.999252
4	-0.998832
5	-0.99832
6	-0.997716
7	-0.99702
8	-0.996234
9	-0.995359
10	-0.994395
11	-0.993343
12	-0.992205
13	-0.990981
14	-0.989673
15	-0.988284
16	-0.986813
17	-0.985263
18	-0.983635
19	-0.981932
20	-0.980156
21	-0.978308
22	-0.976391
23	-0.974407
24	-0.972358
25	-0.970248
26	-0.968078
27	-0.965852
28	-0.963572
29	-0.961241
30	-0.958862
31	-0.956439
32	-0.953974
33	-0.951471
34	-0.948933
35	-0.946364
36	-0.943767
37	-0.941146
38	-0.938504
39	-0.935845
40	-0.933173
41	-0.930491
42	-0.927803
43	-0.925113
44	-0.922424
45	-0.919739
46	-0.917064
47	-0.9144
48	-0.911752
49	-0.909122
50	-0.906515
51	-0.903932
52	-0.901378
53	-0.898854
54	-0.896364
55	-0.89391
56	-0.891494
57	-0.889119
58	-0.886786
59	-0.884498
60	-0.882255
61	-0.88006
62	-0.877913
63	-0.875816
64	-0.873768
65	-0.871771
66	-0.869826
67	-0.867932
68	-0.866089
69	-0.864298
70	-0.862558
71	-0.860869
72	-0.85923
73	-0.85764
74	-0.856099
75	-0.854607
76	-0.853161
77	-0.851761
78	-0.850406
79	-0.849094
80	-0.847825
81	-0.846597
82	-0.845408
83	-0.844258
84	-0.843144
85	-0.842066
86	-0.841023
87	-0.840011
88	-0.839032
89	-0.838082
90	-0.83716
91	-0.836266
92	-0.835397
93	-0.834553
94	-0.833732
95	-0.832932
96	-0.832154
97	-0.831395
98	-0.830654
99	-0.82993
100	-0.829223
101	-0.828531
102	-0.827853
103	-0.827188
104	-0.826535
105	-0.825895
106	-0.825265
107	-0.824645
108	-0.824034
109	-0.823432
110	-0.822838
111	-0.822252
112	-0.821673
113	-0.821101
114	-0.820535
115	-0.819975
116	-0.81942
117	-0.81887
118	-0.818326
119	-0.817786
120	-0.817251
121	-0.81672
122	-0.816193
123	-0.815671
124	-0.815153
125	-0.814639
126	-0.814129
127	-0.813623
128	-0.813122
129	-0.812624
130	-0.812131
131	-0.811642
132	-0.811158
133	-0.810678
134	-0.810203
135	-0.809732
136	-0.809267
137	-0.808807
138	-0.808352
139	-0.807902
140	-0.807459
141	-0.80702
142	-0.806588
143	-0.806162
144	-0.805743
145	-0.80533
146	-0.804923
147	-0.804524
148	-0.804131
149	-0.803746
150	-0.803368
151	-0.802997
152	-0.802634
153	-0.802279
154	-0.801932
155	-0.801593
156	-0.801263
157	-0.800941
158	-0.800627
159	-0.800322
160	-0.800026
161	-0.799739
162	-0.799461
163	-0.799192
164	-0.798932
165	-0.798682
166	-0.79844
167	-0.798208
168	-0.797986
169	-0.797773
170	-0.79757
171	-0.797376
172	-0.797192
173	-0.797017
174	-0.796852
175	-0.796697
176	-0.796551
177	-0.796414
178	-0.796287
179	-0.79617
180	-0.796062
181	-0.795963
182	-0.795873
183	-0.795792
184	-0.795721
185	-0.795658
186	-0.795604
187	-0.795558
188	-0.795521
189	-0.795493
190	-0.795472
191	-0.795459
192	-0.795455
193	-0.795457
194	-0.795467
195	-0.795485
196	-0.795509
197	-0.79554
198	-0.795578
199	-0.795622
200	-0.795673
201	-0.795729
202	-0.795791
203	-0.795858
204	-0.795931
205	-0.796009
206	-0.796091
207	-0.796178
208	-0.796269
209	-0.796364
210	-0.796463
211	-0.796566
212	-0.796672
213	-0.796781
214	-0.796893
215	-0.797008
216	-0.797125
217	-0.797244
218	-0.797366
219	-0.797489
220	-0.797614
221	-0.79774
222	-0.797868
223	-0.797998
224	-0.798128
225	-0.798259
226	-0.798391
227	-0.798524
228	-0.798658
229	-0.798793
230	-0.798928
231	-0.799063
232	-0.7992
233	-0.799337
234	-0.799474
235	-0.799612
236	-0.799751
237	-0.799891
238	-0.800031
239	-0.800172
240	-0.800313
241	-0.800456
242	-0.800599
243	-0.800743
244	-0.800888
245	-0.801034
246	-0.801181
247	-0.801329
248	-0.801478
249	-0.801628
250	-0.801779
251	-0.80193
252	-0.802083
253	-0.802235
254	-0.802389
255	-0.802543
256	-0.802698
257	-0.802852
258	-0.803007
259	-0.803162
260	-0.803317
261	-0.803472
262	-0.803626
263	-0.80378
264	-0.803933
265	-0.804085
266	-0.804237
267	-0.804387
268	-0.804536
269	-0.804684
270	-0.80483
271	-0.804974
272	-0.805117
273	-0.805259
274	-0.805398
275	-0.805535
