time-step	lambda
0	-0.999975
1	-0.9999
2	-0.999775
3	-0.999601
4	-0.999377
5	-0.999104
6	-0.998781
7	-0.99841
8	-0.997991
9	-0.997523
10	-0.997008
11	-0.996446
12	-0.995838
13	-0.995184
14	-0.994484
15	-0.99374
16	-0.992953
17	-0.992122
18	-0.99125
19	-0.990336
20	-0.989382
21	-0.988389
22	-0.987358
23	-0.986289
24	-0.985185
25	-0.984046
26	-0.982873
27	-0.981668
28	-0.980432
29	-0.979166
30	-0.977872
31	-0.976552
32	-0.975206
33	-0.973836
34	-0.972443
35	-0.97103
36	-0.969598
37	-0.968148
38	-0.966683
39	-0.965203
40	-0.96371
41	-0.962207
42	-0.960695
43	-0.959175
44	-0.95765
45	-0.95612
46	-0.954589
47	-0.953057
48	-0.951526
49	-0.949998
50	-0.948475
51	-0.946958
52	-0.945449
53	-0.94395
54	-0.942461
55	-0.940985
56	-0.939523
57	-0.938077
58	-0.936647
59	-0.935236
60	-0.933844
61	-0.932472
62	-0.931122
63	-0.929795
64	-0.928492
65	-0.927213
66	-0.92596
67	-0.924732
68	-0.923532
69	-0.922359
70	-0.921214
71	-0.920098
72	-0.91901
73	-0.917951
74	-0.916921
75	-0.915921
76	-0.91495
77	-0.914009
78	-0.913096
79	-0.912213
80	-0.911359
81	-0.910534
82	-0.909737
83	-0.908968
84	-0.908227
85	-0.907513
86	-0.906826
87	-0.906165
88	-0.905529
89	-0.904919
90	-0.904332
91	-0.90377
92	-0.903231
93	-0.902714
94	-0.902218
95	-0.901744
96	-0.90129
97	-0.900855
98	-0.90044
99	-0.900042
100	-0.899662
101	-0.899299
102	-0.898951
103	-0.898619
104	-0.898302
105	-0.897998
106	-0.897708
107	-0.897431
108	-0.897165
109	-0.896911
110	-0.896668
111	-0.896436
112	-0.896213
113	-0.895999
114	-0.895794
115	-0.895597
116	-0.895408
117	-0.895227
118	-0.895052
119	-0.894884
120	-0.894722
121	-0.894566
122	-0.894415
123	-0.89427
124	-0.89413
125	-0.893994
126	-0.893863
127	-0.893736
128	-0.893613
129	-0.893494
130	-0.893379
131	-0.893267
132	-0.893159
133	-0.893054
134	-0.892952
135	-0.892854
136	-0.892759
137	-0.892667
138	-0.892578
139	-0.892493
140	-0.89241
141	-0.892331
142	-0.892255
143	-0.892182
144	-0.892113
145	-0.892046
146	-0.891983
147	-0.891924
148	-0.891868
149	-0.891816
150	-0.891767
151	-0.891723
152	-0.891682
153	-0.891645
154	-0.891612
155	-0.891583
156	-0.891559
157	-0.891539
158	-0.891523
159	-0.891511
160	-0.891504
161	-0.891502
162	-0.891505
163	-0.891512
164	-0.891524
165	-0.891541
166	-0.891562
167	-0.891589
168	-0.891621
169	-0.891657
170	-0.891699
171	-0.891746
172	-0.891797
173	-0.891854
174	-0.891916
175	-0.891983
176	-0.892055
177	-0.892132
178	-0.892214
179	-0.892301
180	-0.892393
181	-0.89249
182	-0.892591
183	-0.892698
184	-0.892809
185	-0.892925
186	-0.893045
187	-0.89317
188	-0.893299
189	-0.893432
190	-0.89357
191	-0.893712
192	-0.893858
193	-0.894007
194	-0.894161
195	-0.894319
196	-0.89448
197	-0.894644
198	-0.894812
199	-0.894984
200	-0.895158
201	-0.895336
202	-0.895516
203	-0.8957
204	-0.895886
205	-0.896075
206	-0.896266
207	-0.89646
208	-0.896656
209	-0.896854
210	-0.897054
211	-0.897256
212	-0.89746
213	-0.897666
214	-0.897873
215	-0.898082
216	-0.898292
217	-0.898504
218	-0.898717
219	-0.898931
220	-0.899146
221	-0.899361
222	-0.899578
223	-0.899796
224	-0.900014
225	-0.900232
226	-0.900451
227	-0.900671
228	-0.900891
229	-0.901111
230	-0.901331
231	-0.901551
232	-0.901772
233	-0.901992
234	-0.902212
235	-0.902432
236	-0.902652
237	-0.902871
238	-0.90309
239	-0.903308
240	-0.903526
241	-0.903743
242	-0.903959
243	-0.904175
244	-0.90439
245	-0.904603
246	-0.904816
247	-0.905028
248	-0.905239
249	-0.905449
250	-0.905657
251	-0.905864
252	-0.90607
253	-0.906275
254	-0.906478
255	-0.906679
256	-0.906879
257	-0.907078
258	-0.907275
259	-0.90747
260	-0.907664
261	-0.907856
262	-0.908046
263	-0.908234
264	-0.908421
265	-0.908606
266	-0.908789
267	-0.908971
268	-0.90915
269	-0.909328
270	-0.909504
271	-0.909679
272	-0.909851
273	-0.910022
274	-0.910191
275	-0.910359
276	-0.910525
277	-0.910689
278	-0.910852
279	-0.911014
280	-0.911174
281	-0.911332
282	-0.911489
283	-0.911645
284	-0.9118
285	-0.911954
286	-0.912106
287	-0.912258
288	-0.912408
289	-0.912558
290	-0.912706
291	-0.912854
292	-0.913002
293	-0.913148
294	-0.913294
295	-0.91344
296	-0.913585
297	-0.91373
298	-0.913874
299	-0.914018
300	-0.914162
301	-0.914306
302	-0.914449
303	-0.914592
304	-0.914736
305	-0.914879
