timestep            	T              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
100001	0.0497879	0.0497879	0	0.0743901	0.0743901	0	-7.88936	-7.88936	0	-7.81497	-7.81497	0	-3.29386	-3.29386	0
100201	0.0521187	0.0494567	2.33824e-06	0.0778727	0.0738953	0.342099	-7.89288	-7.88887	0.345306	-7.81501	-7.81498	1.31952e-05	-3.30746	-3.29016	0.0001102
100401	0.0506017	0.0502434	1.96644e-06	0.075606	0.0750708	0.287702	-7.89062	-7.89007	0.292374	-7.81501	-7.815	3.1889e-05	-3.2966	-3.29546	9.38575e-05
100601	0.0500794	0.0499876	4.18396e-06	0.0748257	0.0746886	0.61214	-7.8898	-7.88968	0.618529	-7.81497	-7.81499	2.97612e-05	-3.29393	-3.29323	0.000223695
100801	0.0524968	0.0499875	4.3356e-06	0.0784376	0.0746884	0.634325	-7.89344	-7.88968	0.639263	-7.81501	-7.81499	2.4495e-05	-3.31395	-3.29324	0.0002371
101001	0.0482181	0.0503302	4.16556e-06	0.0720446	0.0752003	0.609447	-7.88704	-7.8902	0.614884	-7.815	-7.81499	2.66887e-05	-3.27946	-3.29574	0.000228829
101201	0.0444773	0.0502932	5.31236e-06	0.0664553	0.0751451	0.777231	-7.8814	-7.89014	0.78276	-7.81495	-7.81499	2.58829e-05	-3.25294	-3.29556	0.000300029
101401	0.0515315	0.0501283	5.50468e-06	0.0769953	0.0748988	0.805369	-7.892	-7.88989	0.81137	-7.815	-7.81499	2.80255e-05	-3.3042	-3.29432	0.000309766
101601	0.0513083	0.0503018	5.13592e-06	0.0766618	0.0751579	0.751416	-7.89166	-7.89015	0.75717	-7.815	-7.81499	2.66943e-05	-3.30549	-3.29576	0.000291632
101801	0.0504526	0.0502397	4.65315e-06	0.0753833	0.0750652	0.680785	-7.89036	-7.89006	0.686146	-7.81497	-7.81499	2.56285e-05	-3.2971	-3.29551	0.000262661
102001	0.0483029	0.0501872	4.26259e-06	0.0721713	0.0749868	0.623643	-7.88716	-7.88998	0.628563	-7.81499	-7.81499	2.42349e-05	-3.28139	-3.2952	0.000240963
102201	0.0498358	0.0502843	4.20767e-06	0.0744617	0.0751318	0.615608	-7.88946	-7.89012	0.620591	-7.815	-7.81499	2.41018e-05	-3.29064	-3.29593	0.00023946
102401	0.0488577	0.050237	3.94656e-06	0.0730003	0.0750611	0.577406	-7.88797	-7.89005	0.582187	-7.81497	-7.81499	2.34523e-05	-3.28758	-3.29566	0.000223391
102601	0.0510411	0.0502301	3.66369e-06	0.0762626	0.0750508	0.536021	-7.89127	-7.89004	0.540531	-7.815	-7.81499	2.26918e-05	-3.30237	-3.2957	0.00020701
102801	0.0497223	0.0502933	3.4761e-06	0.0742921	0.0751452	0.508574	-7.88928	-7.89014	0.512961	-7.81499	-7.81499	2.21938e-05	-3.29096	-3.29617	0.000196369
103001	0.0498061	0.0502491	3.28412e-06	0.0744174	0.0750792	0.480488	-7.88939	-7.89007	0.484664	-7.81498	-7.81499	2.12169e-05	-3.29172	-3.29592	0.00018495
103201	0.0505452	0.0502351	3.09173e-06	0.0755216	0.0750583	0.45234	-7.89053	-7.89005	0.456298	-7.815	-7.81499	2.0265e-05	-3.29702	-3.29586	0.000173685
103401	0.0499328	0.0502641	2.98408e-06	0.0746066	0.0751016	0.436589	-7.8896	-7.89009	0.440463	-7.815	-7.81499	2.0227e-05	-3.29095	-3.29603	0.00016824
103601	0.0500326	0.0502437	2.86524e-06	0.0747557	0.0750712	0.419202	-7.88973	-7.89006	0.422944	-7.81498	-7.81499	1.94464e-05	-3.2932	-3.29587	0.00016177
103801	0.0482254	0.0502303	2.8559e-06	0.0720555	0.0750511	0.417836	-7.88703	-7.89004	0.421528	-7.81497	-7.81499	1.94446e-05	-3.28216	-3.29577	0.000160473
104001	0.051409	0.0502683	2.84562e-06	0.0768122	0.0751079	0.416332	-7.89182	-7.8901	0.420144	-7.81501	-7.81499	1.96983e-05	-3.30227	-3.29605	0.000159068
104201	0.0486086	0.0502459	2.76341e-06	0.0726281	0.0750744	0.404305	-7.88759	-7.89006	0.408076	-7.81496	-7.81499	1.95881e-05	-3.28429	-3.2959	0.000153866
104401	0.0489905	0.0502204	2.67161e-06	0.0731986	0.0750363	0.390873	-7.88819	-7.89003	0.394527	-7.81499	-7.81499	1.94567e-05	-3.28839	-3.29572	0.000148335
104601	0.051373	0.0502693	2.68533e-06	0.0767585	0.0751094	0.392881	-7.89176	-7.8901	0.396661	-7.815	-7.81499	2.02423e-05	-3.30349	-3.29607	0.000148667
104801	0.0504964	0.0502417	2.64555e-06	0.0754487	0.0750682	0.38706	-7.89043	-7.89006	0.390824	-7.81498	-7.81499	1.99296e-05	-3.30048	-3.29592	0.000145459
105001	0.0503352	0.0502524	2.55073e-06	0.0752079	0.0750842	0.373188	-7.8902	-7.89007	0.376784	-7.81499	-7.81499	1.92201e-05	-3.29841	-3.29604	0.000140661
105201	0.0509479	0.0502265	2.52974e-06	0.0761233	0.0750455	0.370117	-7.89113	-7.89004	0.373587	-7.815	-7.81499	1.85396e-05	-3.29969	-3.29584	0.000140465
105401	0.0466211	0.0502607	2.69344e-06	0.0696584	0.0750966	0.394067	-7.88462	-7.89009	0.397773	-7.81496	-7.81499	1.87561e-05	-3.26939	-3.29608	0.000149688
105601	0.050274	0.0502607	2.74499e-06	0.0751164	0.0750966	0.40161	-7.89011	-7.89009	0.405351	-7.81499	-7.81499	1.85972e-05	-3.2963	-3.29609	0.000151967
