time-step	lambda
0	-0.999981
1	-0.999925
2	-0.999832
3	-0.999701
4	-0.999533
5	-0.999328
6	-0.999086
7	-0.998807
8	-0.998492
9	-0.998142
10	-0.997755
11	-0.997333
12	-0.996876
13	-0.996384
14	-0.995859
15	-0.9953
16	-0.994708
17	-0.994083
18	-0.993426
19	-0.992739
20	-0.99202
21	-0.991272
22	-0.990495
23	-0.989689
24	-0.988855
25	-0.987995
26	-0.987109
27	-0.986198
28	-0.985263
29	-0.984304
30	-0.983323
31	-0.982321
32	-0.981299
33	-0.980257
34	-0.979198
35	-0.978121
36	-0.977028
37	-0.975921
38	-0.974799
39	-0.973665
40	-0.97252
41	-0.971364
42	-0.970199
43	-0.969026
44	-0.967847
45	-0.966661
46	-0.965472
47	-0.964279
48	-0.963085
49	-0.961889
50	-0.960694
51	-0.9595
52	-0.958309
53	-0.957122
54	-0.95594
55	-0.954764
56	-0.953594
57	-0.952433
58	-0.951281
59	-0.950139
60	-0.949008
61	-0.947889
62	-0.946782
63	-0.945689
64	-0.944611
65	-0.943548
66	-0.9425
67	-0.94147
68	-0.940456
69	-0.93946
70	-0.938482
71	-0.937523
72	-0.936584
73	-0.935664
74	-0.934763
75	-0.933883
76	-0.933024
77	-0.932185
78	-0.931367
79	-0.93057
80	-0.929793
81	-0.929038
82	-0.928304
83	-0.927591
84	-0.926899
85	-0.926227
86	-0.925576
87	-0.924946
88	-0.924335
89	-0.923745
90	-0.923174
91	-0.922622
92	-0.92209
93	-0.921576
94	-0.92108
95	-0.920603
96	-0.920143
97	-0.9197
98	-0.919273
99	-0.918863
100	-0.918469
101	-0.91809
102	-0.917726
103	-0.917376
104	-0.917041
105	-0.916719
106	-0.91641
107	-0.916113
108	-0.915829
109	-0.915556
110	-0.915295
111	-0.915045
112	-0.914804
113	-0.914574
114	-0.914354
115	-0.914142
116	-0.91394
117	-0.913745
118	-0.913559
119	-0.913381
120	-0.913209
121	-0.913045
122	-0.912887
123	-0.912736
124	-0.912591
125	-0.912452
126	-0.912318
127	-0.912189
128	-0.912066
129	-0.911947
130	-0.911834
131	-0.911724
132	-0.911619
133	-0.911518
134	-0.911421
135	-0.911328
136	-0.911238
137	-0.911152
138	-0.91107
139	-0.910991
140	-0.910915
141	-0.910843
142	-0.910774
143	-0.910708
144	-0.910645
145	-0.910586
146	-0.910529
147	-0.910476
148	-0.910426
149	-0.910378
150	-0.910334
151	-0.910293
152	-0.910256
153	-0.910221
154	-0.91019
155	-0.910162
156	-0.910137
157	-0.910116
158	-0.910098
159	-0.910084
160	-0.910073
161	-0.910066
162	-0.910063
163	-0.910063
164	-0.910067
165	-0.910076
166	-0.910087
167	-0.910103
168	-0.910123
169	-0.910148
170	-0.910176
171	-0.910208
