timestep            	T              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
100001	0.263483	0.263483	0	0.393681	0.393681	0	-7.61028	-7.61028	0	-7.2166	-7.2166	0	-1.49372	-1.49372	0
100201	0.257127	0.25695	9.20037e-06	0.384185	0.38392	1.34607	-7.60075	-7.60051	1.3539	-7.21657	-7.21659	2.11835e-05	-1.46497	-1.45428	0.000352559
100401	0.251624	0.256221	9.03047e-06	0.375962	0.38283	1.32121	-7.59247	-7.5994	1.33536	-7.21651	-7.21657	6.5497e-05	-1.41931	-1.44729	0.000365614
100601	0.257271	0.255699	2.04319e-05	0.384399	0.38205	2.98932	-7.60102	-7.59862	3.00331	-7.21662	-7.21657	6.6924e-05	-1.46267	-1.44667	0.00101969
100801	0.245055	0.257504	3.6544e-05	0.366147	0.384747	5.34661	-7.58271	-7.60134	5.38804	-7.21656	-7.21659	0.000152922	-1.36414	-1.45858	0.00174418
101001	0.244161	0.256974	5.57832e-05	0.364811	0.383955	8.16142	-7.58134	-7.60053	8.20665	-7.21653	-7.21658	0.000161835	-1.34624	-1.4549	0.00303605
101201	0.257702	0.256307	5.27865e-05	0.385043	0.382959	7.723	-7.60162	-7.59953	7.76691	-7.21658	-7.21657	0.000148032	-1.46343	-1.44847	0.0030354
101401	0.262311	0.256723	4.69069e-05	0.391929	0.38358	6.86277	-7.60853	-7.60016	6.90159	-7.2166	-7.21658	0.000128897	-1.49752	-1.45227	0.00271696
101601	0.244918	0.256306	6.01754e-05	0.365942	0.382957	8.80404	-7.58244	-7.59953	8.84987	-7.21649	-7.21657	0.000132033	-1.36453	-1.44897	0.00335827
101801	0.253967	0.256452	5.54116e-05	0.379462	0.383175	8.10706	-7.59603	-7.59975	8.14776	-7.21657	-7.21657	0.000123257	-1.42992	-1.45003	0.00309457
102001	0.267669	0.256814	5.31342e-05	0.399935	0.383716	7.77386	-7.61654	-7.60029	7.81211	-7.21661	-7.21657	0.000112923	-1.53275	-1.45359	0.00300696
102201	0.260734	0.25624	6.54637e-05	0.389574	0.382858	9.57775	-7.60607	-7.59942	9.63478	-7.2165	-7.21656	0.000165889	-1.48507	-1.44971	0.00357598
102401	0.267656	0.256359	6.54355e-05	0.399915	0.383036	9.57363	-7.61651	-7.5996	9.62437	-7.21659	-7.21656	0.000156039	-1.53222	-1.45019	0.00355694
102601	0.239698	0.256378	6.70147e-05	0.358142	0.383065	9.80466	-7.57459	-7.59963	9.85688	-7.21644	-7.21656	0.000171384	-1.34778	-1.45076	0.00361415
