time-step	lambda
0	-0.999997
1	-0.999988
2	-0.999972
3	-0.99995
4	-0.999922
5	-0.999888
6	-0.999848
7	-0.999801
8	-0.999749
9	-0.99969
10	-0.999626
11	-0.999555
12	-0.999479
13	-0.999397
14	-0.999309
15	-0.999216
16	-0.999117
17	-0.999013
18	-0.998903
19	-0.998788
20	-0.998668
21	-0.998543
22	-0.998413
23	-0.998278
24	-0.998139
25	-0.997995
26	-0.997846
27	-0.997693
28	-0.997536
29	-0.997375
30	-0.99721
31	-0.997041
32	-0.996869
33	-0.996693
34	-0.996514
35	-0.996332
36	-0.996147
37	-0.995958
38	-0.995768
39	-0.995575
40	-0.995379
41	-0.995181
42	-0.994982
43	-0.99478
44	-0.994577
45	-0.994373
46	-0.994167
47	-0.99396
48	-0.993752
49	-0.993543
50	-0.993334
51	-0.993124
52	-0.992914
53	-0.992703
54	-0.992493
55	-0.992283
56	-0.992074
57	-0.991865
58	-0.991657
59	-0.99145
60	-0.991243
61	-0.991038
62	-0.990835
63	-0.990632
64	-0.990432
65	-0.990233
66	-0.990036
67	-0.989841
68	-0.989649
69	-0.989459
70	-0.989271
71	-0.989086
72	-0.988903
73	-0.988724
74	-0.988547
75	-0.988373
76	-0.988202
77	-0.988035
78	-0.987871
79	-0.98771
80	-0.987553
81	-0.987399
82	-0.987249
83	-0.987102
84	-0.986959
85	-0.98682
86	-0.986685
87	-0.986554
88	-0.986427
89	-0.986303
90	-0.986184
91	-0.986068
92	-0.985957
93	-0.98585
94	-0.985746
95	-0.985647
96	-0.985552
97	-0.985461
98	-0.985374
99	-0.985291
100	-0.985212
101	-0.985137
102	-0.985066
103	-0.984998
104	-0.984935
105	-0.984876
106	-0.98482
107	-0.984768
108	-0.98472
109	-0.984676
110	-0.984635
111	-0.984598
112	-0.984564
113	-0.984534
114	-0.984507
115	-0.984484
116	-0.984464
117	-0.984447
118	-0.984433
119	-0.984422
120	-0.984414
121	-0.984408
122	-0.984406
123	-0.984406
124	-0.984409
125	-0.984415
126	-0.984423
127	-0.984433
128	-0.984446
129	-0.984461
130	-0.984478
131	-0.984497
132	-0.984518
133	-0.984541
134	-0.984566
135	-0.984592
136	-0.98462
137	-0.98465
138	-0.984681
139	-0.984713
140	-0.984747
141	-0.984782
142	-0.984818
143	-0.984855
144	-0.984894
145	-0.984933
146	-0.984973
147	-0.985014
148	-0.985055
149	-0.985097
150	-0.98514
151	-0.985184
152	-0.985227
153	-0.985272
154	-0.985316
155	-0.985361
156	-0.985406
157	-0.985452
158	-0.985497
159	-0.985543
160	-0.985589
161	-0.985634
162	-0.98568
163	-0.985726
164	-0.985771
165	-0.985817
166	-0.985862
167	-0.985907
168	-0.985952
169	-0.985996
170	-0.986041
171	-0.986085
172	-0.986128
173	-0.986172
174	-0.986215
175	-0.986257
176	-0.9863
177	-0.986342
178	-0.986383
179	-0.986424
180	-0.986465
181	-0.986505
182	-0.986545
183	-0.986585
184	-0.986624
185	-0.986662
186	-0.986701
187	-0.986738
188	-0.986776
189	-0.986813
190	-0.986849
191	-0.986886
192	-0.986921
193	-0.986957
194	-0.986992
195	-0.987027
196	-0.987061
197	-0.987095
198	-0.987129
199	-0.987163
200	-0.987196
201	-0.987229
202	-0.987262
203	-0.987294
204	-0.987326
205	-0.987358
206	-0.98739
207	-0.987422
208	-0.987453
209	-0.987485
210	-0.987516
211	-0.987547
212	-0.987578
213	-0.987609
214	-0.987639
215	-0.98767
216	-0.987701
217	-0.987731
218	-0.987762
219	-0.987793
220	-0.987823
221	-0.987854
222	-0.987884
223	-0.987915
224	-0.987945
225	-0.987976
226	-0.988006
227	-0.988037
228	-0.988068
229	-0.988098
230	-0.988129
231	-0.98816
232	-0.988191
233	-0.988222
234	-0.988252
235	-0.988283
236	-0.988314
237	-0.988345
238	-0.988376
239	-0.988408
240	-0.988439
241	-0.98847
242	-0.988501
243	-0.988532
244	-0.988563
245	-0.988594
246	-0.988625
247	-0.988656
248	-0.988687
249	-0.988718
250	-0.988748
251	-0.988779
252	-0.98881
253	-0.98884
254	-0.98887
255	-0.9889
256	-0.98893
257	-0.98896
258	-0.988989
259	-0.989018
260	-0.989047
261	-0.989076
262	-0.989104
263	-0.989132
264	-0.98916
265	-0.989187
266	-0.989214
267	-0.98924
268	-0.989266
269	-0.989292
270	-0.989317
271	-0.989342
272	-0.989366
273	-0.98939
274	-0.989413
275	-0.989435
276	-0.989457
277	-0.989479
278	-0.989499
279	-0.989519
280	-0.989539
281	-0.989558
282	-0.989576
283	-0.989593
284	-0.98961
285	-0.989626
286	-0.989641
287	-0.989656
288	-0.98967
289	-0.989683
290	-0.989695
291	-0.989706
292	-0.989717
293	-0.989726
294	-0.989735
295	-0.989743
296	-0.989751
297	-0.989757
298	-0.989763
299	-0.989767
300	-0.989771
301	-0.989774
302	-0.989777
303	-0.989778
304	-0.989778
305	-0.989778
306	-0.989777
307	-0.989775
308	-0.989772
309	-0.989769
310	-0.989764
311	-0.989759
312	-0.989753
313	-0.989746
314	-0.989738
315	-0.98973
316	-0.989721
317	-0.989711
318	-0.989701
319	-0.98969
320	-0.989678
321	-0.989665
322	-0.989652
323	-0.989638
324	-0.989624
325	-0.989609
326	-0.989594
327	-0.989578
328	-0.989562
329	-0.989545
330	-0.989528
331	-0.98951
332	-0.989492
333	-0.989473
334	-0.989455
335	-0.989436
336	-0.989416
337	-0.989397
338	-0.989377
339	-0.989357
340	-0.989337
341	-0.989317
342	-0.989297
343	-0.989277
344	-0.989257
345	-0.989237
346	-0.989216
347	-0.989196
348	-0.989177
349	-0.989157
350	-0.989137
351	-0.989118
352	-0.989099
353	-0.98908
354	-0.989062
355	-0.989044
356	-0.989026
357	-0.989009
358	-0.988992
359	-0.988975
360	-0.98896
361	-0.988944
362	-0.98893
363	-0.988915
364	-0.988902
365	-0.988889
366	-0.988876
367	-0.988865
368	-0.988854
369	-0.988844
370	-0.988834
371	-0.988826
372	-0.988818
373	-0.988811
374	-0.988804
375	-0.988799
376	-0.988794
377	-0.988791
378	-0.988788
379	-0.988786
380	-0.988784
381	-0.988784
382	-0.988785
383	-0.988786
384	-0.988789
385	-0.988792
386	-0.988796
387	-0.988801
388	-0.988808
389	-0.988814
390	-0.988822
391	-0.988831
392	-0.98884
393	-0.988851
394	-0.988862
395	-0.988874
396	-0.988887
397	-0.988901
398	-0.988915
399	-0.988931
400	-0.988947
401	-0.988964
402	-0.988981
403	-0.988999
404	-0.989018
405	-0.989038
406	-0.989058
407	-0.989078
408	-0.9891
409	-0.989122
410	-0.989144
411	-0.989167
412	-0.98919
413	-0.989214
414	-0.989238
415	-0.989262
416	-0.989287
417	-0.989312
418	-0.989337
419	-0.989362
420	-0.989388
