timestep            	T              	T_{ave}             	T_{var}           	K/N            	K_{ave}/N           	K_{var}           	U/N            	U_{ave}/N           	U_{var}           	E/N            	E_{ave}/N           	E_{var}           	P              	P_{ave}             	P_{var}
100001	0.426196	0.426196	0	0.636796	0.636796	0	-7.40476	-7.40476	0	-6.76797	-6.76797	0	-0.199304	-0.199304	0
100201	0.42788	0.41889	6.48145e-05	0.639313	0.625881	9.48276	-7.40728	-7.39387	9.49981	-6.76796	-6.76799	3.33361e-05	-0.214547	-0.158187	0.00321039
100401	0.43194	0.415869	0.000232404	0.64538	0.621367	34.0022	-7.41346	-7.38934	34.1111	-6.76808	-6.76797	0.000168592	-0.26966	-0.135876	0.0123963
100601	0.429257	0.416089	0.000244054	0.64137	0.621695	35.7067	-7.40932	-7.38968	35.8513	-6.76795	-6.76798	0.000241322	-0.230742	-0.134946	0.0129673
100801	0.421816	0.415277	0.00025253	0.630253	0.620482	36.9467	-7.39823	-7.38845	37.0706	-6.76798	-6.76797	0.000214828	-0.156323	-0.128735	0.0135319
101001	0.395098	0.41584	0.000224455	0.590333	0.621323	32.8391	-7.35825	-7.38929	32.9437	-6.76791	-6.76797	0.000178434	0.0226545	-0.132161	0.0118665
101201	0.402582	0.416211	0.000235221	0.601514	0.621878	34.4144	-7.36949	-7.38984	34.52	-6.76798	-6.76797	0.00016239	-0.0362558	-0.134579	0.012676
101401	0.420508	0.415534	0.000220004	0.628297	0.620866	32.188	-7.39622	-7.38883	32.2774	-6.76792	-6.76796	0.00015717	-0.133802	-0.127687	0.0118802
101601	0.431956	0.41456	0.00021043	0.645403	0.619411	30.7872	-7.41333	-7.38736	30.884	-6.76792	-6.76795	0.000193093	-0.233223	-0.118379	0.0116502
101801	0.405928	0.415093	0.000199972	0.606514	0.620208	29.2572	-7.37445	-7.38816	29.3464	-6.76793	-6.76795	0.000179278	-0.0644414	-0.121445	0.0109322
102001	0.43062	0.415149	0.000185555	0.643407	0.620292	27.1478	-7.41131	-7.38824	27.2284	-6.7679	-6.76795	0.000192036	-0.237975	-0.122743	0.0101586
102201	0.427438	0.414707	0.000186703	0.638652	0.619631	27.3159	-7.40658	-7.38757	27.3959	-6.76792	-6.76794	0.000187713	-0.194788	-0.119371	0.0102574
102401	0.396572	0.415088	0.000186983	0.592534	0.6202	27.3568	-7.36042	-7.38814	27.4343	-6.76789	-6.76794	0.00017645	0.0161069	-0.121966	0.0101339
102601	0.432907	0.415338	0.000191956	0.646824	0.620573	28.0844	-7.41485	-7.38852	28.1722	-6.76802	-6.76794	0.000188163	-0.253138	-0.12351	0.0104394
102801	0.423728	0.414863	0.000200748	0.63311	0.619864	29.3707	-7.40096	-7.3878	29.4652	-6.76785	-6.76794	0.000199842	-0.193734	-0.120719	0.010694
103001	0.43177	0.414599	0.000248596	0.645125	0.619469	36.3712	-7.41297	-7.3874	36.4869	-6.76785	-6.76793	0.000260137	-0.264615	-0.118978	0.0130773
103201	0.410784	0.414997	0.000240723	0.61377	0.620063	35.2192	-7.38166	-7.38799	35.324	-6.76789	-6.76793	0.00024917	-0.110297	-0.121984	0.0127446
103401	0.423891	0.414811	0.000230623	0.633353	0.619786	33.7416	-7.40128	-7.38771	33.8407	-6.76793	-6.76793	0.000242144	-0.160323	-0.120795	0.0122585
103601	0.40161	0.414858	0.000232407	0.600062	0.619856	34.0026	-7.36791	-7.38778	34.1029	-6.76784	-6.76793	0.000236087	-0.023673	-0.120471	0.0122117
103801	0.416169	0.415099	0.000222934	0.621816	0.620216	32.6167	-7.38978	-7.38814	32.7127	-6.76796	-6.76793	0.000232807	-0.126069	-0.122028	0.0117195
104001	0.413578	0.414938	0.000219094	0.617943	0.619976	32.0548	-7.38585	-7.3879	32.1471	-6.76791	-6.76793	0.000223415	-0.0883366	-0.120431	0.0115841
104201	0.412166	0.415065	0.000210609	0.615833	0.620166	30.8134	-7.38373	-7.38809	30.9009	-6.76789	-6.76792	0.000216937	-0.103203	-0.12099	0.0111086
104401	0.384412	0.414909	0.00020567	0.574365	0.619932	30.0908	-7.34222	-7.38785	30.1763	-6.76785	-6.76792	0.000217036	0.110112	-0.11911	0.0108921
104601	0.437299	0.414897	0.000214751	0.653386	0.619914	31.4194	-7.42137	-7.38784	31.5046	-6.76798	-6.76792	0.000210172	-0.283667	-0.11909	0.0113211
104801	0.418605	0.415177	0.000210464	0.625455	0.620333	30.7922	-7.39334	-7.38826	30.8764	-6.76789	-6.76792	0.000205192	-0.11955	-0.121285	0.0111431
105001	0.417706	0.41498	0.000205388	0.624111	0.620038	30.0495	-7.39192	-7.38796	30.1342	-6.76781	-6.76792	0.000217814	-0.154631	-0.120034	0.0108489
105201	0.412732	0.41483	0.000204113	0.616679	0.619814	29.8631	-7.38463	-7.38773	29.9495	-6.76796	-6.76792	0.00022568	-0.104739	-0.118723	0.0107954
105401	0.419761	0.415061	0.000200434	0.627183	0.620159	29.3248	-7.39511	-7.38808	29.4116	-6.76793	-6.76792	0.000228746	-0.160643	-0.119922	0.0105658
105601	0.420705	0.415077	0.000194889	0.628592	0.620184	28.5135	-7.39644	-7.3881	28.5966	-6.76784	-6.76792	0.000226289	-0.157625	-0.120063	0.0102693
105801	0.438163	0.414818	0.000197918	0.654677	0.619797	28.9566	-7.4225	-7.38771	29.0448	-6.76783	-6.76791	0.00024817	-0.283222	-0.118394	0.0103995
106001	0.418242	0.414963	0.00020357	0.624913	0.620013	29.7835	-7.39283	-7.38793	29.8736	-6.76791	-6.76791	0.000257692	-0.13908	-0.119731	0.0106839
106201	0.405246	0.414849	0.000198687	0.605494	0.619842	29.0691	-7.37334	-7.38775	29.1584	-6.76784	-6.76791	0.00025934	-0.0673947	-0.119291	0.0103859
106401	0.392726	0.414759	0.000200964	0.586788	0.619708	29.4023	-7.35454	-7.38762	29.495	-6.76775	-6.76791	0.000263513	0.0410674	-0.118528	0.0104764
106601	0.413932	0.414785	0.000196863	0.618473	0.619747	28.8022	-7.38642	-7.38765	28.8933	-6.76795	-6.76791	0.000268447	-0.102068	-0.118345	0.010244
106801	0.403345	0.415052	0.000194715	0.602654	0.620146	28.488	-7.37049	-7.38805	28.5784	-6.76783	-6.76791	0.000264362	-0.0299725	-0.120064	0.0101233
107001	0.431049	0.414805	0.000206549	0.644048	0.619777	30.2194	-7.41202	-7.38768	30.318	-6.76798	-6.76791	0.000270186	-0.226456	-0.118217	0.0107073
107201	0.417773	0.414914	0.000201707	0.624211	0.61994	29.511	-7.39213	-7.38785	29.608	-6.76792	-6.76791	0.00026886	-0.143541	-0.118924	0.0104484
107401	0.410303	0.41474	0.00020047	0.61305	0.61968	29.3301	-7.38094	-7.38759	29.4273	-6.76789	-6.76791	0.000265467	-0.0702453	-0.117579	0.0103935
