time-step	lambda
0	-0.99998
1	-0.999919
2	-0.999818
3	-0.999676
4	-0.999494
5	-0.999272
6	-0.99901
7	-0.998708
8	-0.998367
9	-0.997987
10	-0.997568
11	-0.997111
12	-0.996616
13	-0.996084
14	-0.995515
15	-0.99491
16	-0.994268
17	-0.993592
18	-0.992881
19	-0.992137
20	-0.991359
21	-0.990549
22	-0.989707
23	-0.988835
24	-0.987933
25	-0.987002
26	-0.986043
27	-0.985057
28	-0.984045
29	-0.983008
30	-0.981946
31	-0.980862
32	-0.979756
33	-0.978629
34	-0.977483
35	-0.976318
36	-0.975136
37	-0.973938
38	-0.972725
39	-0.971498
40	-0.97026
41	-0.96901
42	-0.96775
43	-0.966482
44	-0.965207
45	-0.963926
46	-0.96264
47	-0.961351
48	-0.96006
49	-0.958769
50	-0.957478
51	-0.956189
52	-0.954903
53	-0.953622
54	-0.952346
55	-0.951077
56	-0.949815
57	-0.948564
58	-0.947322
59	-0.946091
60	-0.944874
61	-0.943669
62	-0.942479
63	-0.941304
64	-0.940146
65	-0.939004
66	-0.937881
67	-0.936776
68	-0.935691
69	-0.934626
70	-0.933581
71	-0.932558
72	-0.931556
73	-0.930576
74	-0.92962
75	-0.928686
76	-0.927775
77	-0.926888
78	-0.926024
79	-0.925185
80	-0.924369
81	-0.923577
82	-0.92281
83	-0.922066
84	-0.921346
85	-0.92065
86	-0.919978
87	-0.919329
88	-0.918703
89	-0.9181
90	-0.91752
91	-0.916961
92	-0.916425
93	-0.91591
94	-0.915417
95	-0.914944
96	-0.914491
97	-0.914058
98	-0.913644
99	-0.913249
100	-0.912872
101	-0.912512
102	-0.91217
103	-0.911845
104	-0.911536
105	-0.911242
106	-0.910964
107	-0.9107
108	-0.91045
109	-0.910214
110	-0.90999
111	-0.909779
112	-0.90958
113	-0.909392
114	-0.909216
115	-0.90905
116	-0.908893
117	-0.908747
118	-0.908609
119	-0.908481
120	-0.90836
121	-0.908248
122	-0.908143
123	-0.908045
124	-0.907954
125	-0.907869
126	-0.907791
127	-0.907719
128	-0.907652
129	-0.90759
130	-0.907534
131	-0.907482
132	-0.907435
133	-0.907393
134	-0.907354
135	-0.90732
136	-0.90729
137	-0.907263
138	-0.90724
139	-0.90722
140	-0.907204
141	-0.907192
142	-0.907182
143	-0.907176
144	-0.907172
145	-0.907172
146	-0.907175
147	-0.907181
148	-0.90719
149	-0.907202
150	-0.907216
151	-0.907234
152	-0.907255
153	-0.907279
154	-0.907305
155	-0.907335
156	-0.907368
157	-0.907404
158	-0.907443
159	-0.907486
160	-0.907531
161	-0.90758
162	-0.907632
163	-0.907688
164	-0.907746
165	-0.907809
166	-0.907874
167	-0.907944
168	-0.908017
